Bevölkerungsstand und Bevölkerungsbewegung in Wien seit 1996;;;;;;;;;
Jahr (1);Bevölkerungs-stand am 1. 1.;natürliche Bevölkerungsbewegung;;;Wanderungsbewegung;;;Statistische Korrektur;Bevölkerungs-stand am 31. 12.
;;"Lebend-
geborene";Gestorbene;Geburtenbilanz;Zuwanderung;Abwanderung;Wanderungs-bilanz;;
1996;1539002;16242;19346;-3104;43537;37244;6293;–;1542191
1997;1542191;15505;18452;-2947;45320;43689;1631;–;1540875
1998;1540875;15235;18082;-2847;46386;42162;4224;–;1542252
1999;1542252;15157;17983;-2826;52244;43133;9111;–;1548537
2000;1548537;15547;17588;-2041;51058;43598;7460;–;1553956
2001;1553956;15167;16943;-1776;60145;47935;12210;6733;1571123
2002;1571123;16428;16916;-488;69219;47731;21488;723;1592846
2003;1592846;16486;16980;-494;69803;52709;17094;964;1610410
2004;1610410;16856;15983;873;76136;56478;19658;1628;1632569
2005;1632569;16740;16027;713;72383;55202;17181;1986;1652449
2006;1652449;17112;15796;1316;65235;58463;6772;709;1661246
2007;1661246;16885;15825;1060;70407;59598;10809;-1894;1671221
2008;1671221;17375;15702;1673;69850;62405;7445;-204;1680135
2009;1680135;17154;16332;822;73959;65081;8878;160;1689995
2010;1689995;17989;16287;1702;77441;66464;10977;181;1702855
2011;1702855;18170;15918;2252;80474;68653;11821;156;1717084
2012;1717084;18265;16404;1861;90441;68127;22314;-13;1741246
2013;1741246;18691;16332;2359;94034;71323;22711;430;1766746
2014;1766746;19260;16014;3246;100138;73446;26692;653;1797337
2015;1797337;19931;16526;3405;115238;76053;39185;299;1840226
2016;1840226;20804;16031;4773;104906;82629;22277;306;1867582
2017;1867582;20576;16424;4152;98926;82135;16791;251;1888776
2018;1888776;20038;16887;3151;88535;82856;5679;-115;1897491
2019;1897491;19935;16150;3785;91246;81359;9887;28;1911191
2020;1911191;19156;17901;1255;83810;74969;8841;-338;1920949
2021;1920949;19359;18086;1273;88073;78492;9581;-210;1931593
2022;1931593;19142;18041;1101;134839;85192;49647;-244;1982097
2023;1982097;18072;17249;823;111960;88802;23158;-318;2005760
Quelle: Statistik Austria.;;;;;;;;;
(1) Ab 2009 einschließlich der Sterbefälle von Wienerinnen und Wienern im Ausland.;;;;;;;;;
