Bevölkerung nach ausländischer Herkunft, Geschlecht und Gemeindebezirken 2024;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1. 1.;;;Ausländische Herkunft;;;;;
;;;;ohne;;;mit;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;2005760;982911;1022849;1094608;532599;562009;911152;450312;460840
1. Innere Stadt;16538;7888;8650;9467;4801;4666;7071;3087;3984
2. Leopoldstadt;110100;53974;56126;56963;28003;28960;53137;25971;27166
3. Landstraße;98398;47488;50910;51979;25331;26648;46419;22157;24262
4. Wieden;33155;16165;16990;17846;8908;8938;15309;7257;8052
5. Margareten;54400;27210;27190;25547;12691;12856;28853;14519;14334
6. Mariahilf;31386;15236;16150;17447;8593;8854;13939;6643;7296
7. Neubau;31513;15255;16258;18396;8968;9428;13117;6287;6830
8. Josefstadt;24499;12013;12486;14400;6997;7403;10099;5016;5083
9. Alsergrund;41631;19787;21844;23124;11211;11913;18507;8576;9931
10. Favoriten;220324;111939;108385;99594;49044;50550;120730;62895;57835
11. Simmering;110559;54879;55680;57930;28567;29363;52629;26312;26317
12. Meidling;101714;50297;51417;49863;24346;25517;51851;25951;25900
13. Hietzing;55505;26041;29464;37282;17693;19589;18223;8348;9875
14. Penzing;98161;47903;50258;59659;28931;30728;38502;18972;19530
15. Rudolfsheim-Fünfhaus;76381;38985;37396;33500;16570;16930;42881;22415;20466
16. Ottakring;102770;51517;51253;50946;24723;26223;51824;26794;25030
17. Hernals;56671;27976;28695;30541;14658;15883;26130;13318;12812
18. Währing;51395;23893;27502;31527;14649;16878;19868;9244;10624
19. Döbling;75400;35332;40068;45309;21447;23862;30091;13885;16206
20. Brigittenau;86930;43637;43293;38656;18964;19692;48274;24673;23601
21. Floridsdorf;186233;90783;95450;109611;53452;56159;76622;37331;39291
22. Donaustadt;220794;106354;114440;136322;66378;69944;84472;39976;44496
23. Liesing;121303;58359;62944;78699;37674;41025;42604;20685;21919
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
