Einbürgerungen in Wien nach Geschlecht und Rechtsgrund seit 1981;;;;;;;;;
Jahr;Insgesamt;Einbürgerungen;;;;;;;
;;insgesamt;;Paragraph des Staatsbürgerschaftsgesetzes (StBG);;;;;
;;Geschlecht;;Ermessen § 10;;"Rechtsanspruch §§ 11a,
12–14, 25, 58c, Art.I";;Erstreckung §§ 16, 17;
;;Männer;Frauen;Geschlecht;;Geschlecht;;Geschlecht;
;;;;Männer;Frauen;Männer;Frauen;Männer;Frauen
1981;3579;1421;2158;943;399;127;1125;351;634
1982;3239;1196;2043;802;328;104;1219;290;496
1983;4841;2051;2790;1049;521;544;1514;458;755
1984;3533;1947;1586;823;565;693;350;431;671
1985;3546;1815;1731;803;682;580;352;432;697
1986;4178;2193;1985;1014;761;566;402;613;822
1987;3646;1874;1772;838;653;449;347;587;772
1988;4111;2055;2056;910;770;430;418;715;868
1989;4580;2207;2373;977;945;400;407;830;1021
1990;6312;3050;3262;1364;1283;524;505;1162;1474
1991;8047;4018;4029;1805;1700;691;577;1522;1752
1992;7898;3864;4034;1689;1732;535;536;1640;1766
1993;8671;4174;4497;1818;1948;655;657;1701;1892
1994;9261;4492;4769;1967;1857;569;643;1956;2269
1995;6841;3232;3609;1520;1408;654;811;1058;1390
1996;9044;4091;4953;1642;1848;530;675;1919;2430
1997;8628;3995;4633;1690;1817;704;925;1601;1891
1998;9350;4513;4837;2051;1525;765;1044;1697;2268
1999;11007;5421;5586;2158;1686;1067;1118;2196;2782
2000;9469;4755;4714;2210;1549;804;987;1741;2178
2001;13394;6834;6560;3168;2163;978;1133;2688;3264
2002;14672;7500;7172;3607;2472;937;1220;2956;3480
2003;18085;8770;9315;3928;3551;1398;1740;3444;4024
2004;16354;8156;8198;3526;2739;1683;1945;2947;3514
2005;12240;6121;6119;2426;1851;1532;1736;2163;2532
2006;8654;4073;4581;1547;1508;1152;1445;1374;1628
2007;5200;2343;2857;631;876;899;1140;813;841
2008;3782;1801;1981;406;419;845;968;550;594
2009;2855;1334;1521;259;299;659;789;416;433
2010;1745;810;935;124;169;440;510;246;256
2011;2071;970;1101;144;163;533;614;293;324
2012;2491;1132;1359;186;219;584;736;362;404
2013;2422;1150;1272;213;206;583;703;354;363
2014;2642;1206;1436;204;252;679;834;323;350
2015;2967;1310;1657;235;247;671;949;404;461
2016;3055;1381;1674;238;219;708;970;435;485
2017;3899;1824;2075;276;195;969;1202;579;678
2018;4121;1875;2246;236;251;1047;1381;592;614
2019;4563;2086;2477;250;216;1212;1549;624;712
2020;3435;1516;1919;150;163;936;1344;430;412
2021;4138;1821;2317;136;140;1123;1588;562;589
2022;4478;2089;2389;136;132;1311;1587;642;670
2023;3899;1855;2044;106;112;1203;1327;546;605
Quelle: Statistik Austria – Einbürgerungsstatistik.;;;;;;;;;
