Bevölkerung nach Staatsangehörigkeit, Geschlecht und Gemeindebezirken 2024;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1. 1.;;;Staatsangehörigkeit;;;;;
;;;;Österreich;;;Fremde;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;2005760;982911;1022849;1295341;621781;673560;710419;361130;349289
1. Innere Stadt;16538;7888;8650;11230;5543;5687;5308;2345;2963
2. Leopoldstadt;110100;53974;56126;68362;33113;35249;41738;20861;20877
3. Landstraße;98398;47488;50910;61474;29336;32138;36924;18152;18772
4. Wieden;33155;16165;16990;21141;10266;10875;12014;5899;6115
5. Margareten;54400;27210;27190;31214;15234;15980;23186;11976;11210
6. Mariahilf;31386;15236;16150;20538;9942;10596;10848;5294;5554
7. Neubau;31513;15255;16258;21068;10100;10968;10445;5155;5290
8. Josefstadt;24499;12013;12486;16322;7818;8504;8177;4195;3982
9. Alsergrund;41631;19787;21844;26621;12696;13925;15010;7091;7919
10. Favoriten;220324;111939;108385;123934;60455;63479;96390;51484;44906
11. Simmering;110559;54879;55680;70188;34153;36035;40371;20726;19645
12. Meidling;101714;50297;51417;60847;29258;31589;40867;21039;19828
13. Hietzing;55505;26041;29464;41891;19552;22339;13614;6489;7125
14. Penzing;98161;47903;50258;68458;32711;35747;29703;15192;14511
15. Rudolfsheim-Fünfhaus;76381;38985;37396;41445;20093;21352;34936;18892;16044
16. Ottakring;102770;51517;51253;61013;29212;31801;41757;22305;19452
17. Hernals;56671;27976;28695;35536;16758;18778;21135;11218;9917
18. Währing;51395;23893;27502;35636;16363;19273;15759;7530;8229
19. Döbling;75400;35332;40068;52737;24597;28140;22663;10735;11928
20. Brigittenau;86930;43637;43293;48723;23658;25065;38207;19979;18228
21. Floridsdorf;186233;90783;95450;127932;61827;66105;58301;28956;29345
22. Donaustadt;220794;106354;114440;159291;76606;82685;61503;29748;31755
23. Liesing;121303;58359;62944;89740;42490;47250;31563;15869;15694
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
