Bevölkerungsprognose nach Gemeindebezirken 2023 bis 2042 – Jährliche Bevölkerungsveränderung;;;;;;;;;;
Gemeindebezirk;Bevölkerungsprognose;;;;;;;;;
;2023;2024,0;2025,0;2026,0;2027,0;2028,0;2029,0;2030,0;2031;2032,0
Wien;20286;19434,0;18021,0;16308,0;14425,0;13354,0;12685,0;12213,0;11844;11536,0
1. Innere Stadt;-199;-196,0;-203,0;-205,0;-210,0;-207,0;-201,0;-193,0;-185;-175,0
2. Leopoldstadt;2564;1885,0;1454,0;1312,0;972,0;589,0;314,0;96,0;-91;-141,0
3. Landstraße;1002;1029,0;669,0;503,0;348,0;247,0;115,0;-11,0;-137;-172,0
4. Wieden;108;62,0;13,0;-15,0;-55,0;-62,0;-69,0;-76,0;-77;-66,0
5. Margareten;1;-68,0;-150,0;-180,0;-240,0;-238,0;-245,0;-250,0;-242;-221,0
6. Mariahilf;86;41,0;-12,0;-40,0;-83,0;-89,0;-98,0;-103,0;-106;-93,0
7. Neubau;31;-22,0;-60,0;-78,0;-114,0;-119,0;-123,0;-132,0;-132;-118,0
8. Josefstadt;-105;-70,0;-122,0;-149,0;-188,0;-176,0;-177,0;-164,0;-157;-143,0
9. Alsergrund;54;43,0;189,0;213,0;175,0;113,0;19,0;-77,0;-168;-185,0
10. Favoriten;2705;3210,0;3565,0;2828,0;2074,0;1730,0;1682,0;1776,0;1953;2061,0
11. Simmering;1163;1207,0;1019,0;933,0;901,0;1054,0;1105,0;1147,0;1163;1198,0
12. Meidling;812;679,0;543,0;468,0;352,0;317,0;280,0;247,0;223;237,0
13. Hietzing;101;51,0;8,0;-22,0;-65,0;-73,0;-85,0;-97,0;-99;-86,0
14. Penzing;568;331,0;153,0;56,0;-57,0;-24,0;51,0;147,0;188;157,0
15. Rudolfsheim-Fünfhaus;321;179,0;38,0;-26,0;-135,0;-147,0;-169,0;-185,0;-189;-160,0
16. Ottakring;334;189,0;49,0;-15,0;-132,0;-142,0;-163,0;-189,0;-198;-163,0
17. Hernals;147;70,0;-8,0;-44,0;-112,0;-120,0;-133,0;-140,0;-141;-123,0
18. Währing;81;21,0;-36,0;-70,0;-119,0;-123,0;-131,0;-134,0;-132;-114,0
19. Döbling;360;471,0;461,0;213,0;344,0;351,0;248,0;102,0;-45;-101,0
20. Brigittenau;782;436,0;518,0;1021,0;1240,0;800,0;588,0;529,0;493;485,0
21. Floridsdorf;2267;2335,0;2303,0;1840,0;1927,0;2019,0;1896,0;1698,0;1483;1322,0
22. Donaustadt;5459;5765,0;6060,0;6470,0;6429,0;6669,0;7065,0;7362,0;7518;7355,0
23. Liesing;1644;1786,0;1570,0;1295,0;1173,0;985,0;916,0;860,0;922;782,0
Gemeindebezirk;Bevölkerungsprognose;;;;;;;;;
;2033;2034,0;2035,0;2036,0;2037,0;2038,0;2039,0;2040,0;2041;2042,0
Wien;11155;10806,0;10472,0;10162,0;9853,0;9559,0;9257,0;8948,0;8644;8316,0
1. Innere Stadt;-161;-143,0;-124,0;-105,0;-83,0;-64,0;-65,0;-52,0;-44;-39,0
2. Leopoldstadt;-125;-55,0;27,0;120,0;244,0;348,0;280,0;343,0;362;364,0
3. Landstraße;-156;-100,0;-27,0;51,0;150,0;235,0;189,0;243,0;263;265,0
4. Wieden;-49;-22,0;7,0;39,0;79,0;113,0;92,0;111,0;121;118,0
5. Margareten;-181;-127,0;-64,0;-6,0;74,0;136,0;103,0;143,0;158;162,0
6. Mariahilf;-74;-43,0;-12,0;23,0;65,0;101,0;80,0;103,0;108;110,0
7. Neubau;-102;-76,0;-44,0;-13,0;27,0;58,0;42,0;63,0;72;72,0
8. Josefstadt;-121;-98,0;-74,0;-46,0;-13,0;12,0;-5,0;14,0;21;22,0
9. Alsergrund;-171;-125,0;-78,0;-26,0;35,0;85,0;55,0;85,0;97;99,0
10. Favoriten;2141;2241,0;2338,0;2429,0;2391,0;2240,0;2176,0;1901,0;1735;1627,0
11. Simmering;1206;1168,0;1089,0;1005,0;938,0;909,0;786,0;772,0;754;733,0
12. Meidling;267;331,0;404,0;479,0;580,0;664,0;600,0;650,0;662;656,0
13. Hietzing;-70;-32,0;5,0;47,0;99,0;145,0;132,0;165,0;178;183,0
14. Penzing;97;38,0;47,0;90,0;168,0;242,0;203,0;250,0;271;276,0
15. Rudolfsheim-Fünfhaus;-114;-37,0;48,0;129,0;238,0;321,0;264,0;319,0;335;337,0
16. Ottakring;-109;-16,0;87,0;189,0;320,0;425,0;366,0;432,0;456;458,0
17. Hernals;-94;-46,0;12,0;66,0;141,0;200,0;169,0;208,0;225;226,0
18. Währing;-90;-41,0;4,0;57,0;115,0;168,0;143,0;177,0;192;193,0
19. Döbling;-105;-69,0;-18,0;43,0;120,0;186,0;163,0;209,0;229;236,0
20. Brigittenau;491;355,0;207,0;54,0;-63,0;-66,0;-149,0;-96,0;-63;-48,0
21. Floridsdorf;1341;1365,0;1370,0;1300,0;1123,0;989,0;1215,0;1130,0;1078;1037,0
22. Donaustadt;6777;6024,0;5198,0;4247,0;3115,0;2109,0;1942,0;1304,0;962;770,0
23. Liesing;557;314,0;70,0;-10,0;-10,0;3,0;476,0;474,0;472;459,0
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik – Bevölkerungsprognose 2023.;;;;;;;;;;
