Grünflächen nach Nutzungsklassen und Gemeindebezirken 2023;;;;;;
Gemeindebezirk;Insgesamt;Grünlandnutzung;;;;
;;Landwirtschaft;Park- u. Grülagen, Friedhöfe;Wälder;Wiesen;Sport-, Bad- u. Campingflächen
;ha;;;;;
Wien;18604,009273776403;5636,9789030379;1775,2986457699003;8164,8275070824;2234,6018487578003;792,3023691289
1. Innere Stadt;27,267358531300005;–;27,267358531300005;–;–;–
2. Leopoldstadt;671,5352065496;14,8002843883;96,08375091030001;303,19604623810005;65,06037384320001;192,3947511698
3. Landstraße;108,8198365603;2,3301213828000003;80,2222953178;3,9572886550000006;10,2708624597;12,039268745200001
4. Wieden;17,8555092416;–;12,267454132800001;–;–;5,5880551088
5. Margareten;8,825833644800001;–;8,4724495117;–;–;0,35338413300000004
6. Mariahilf;3,1008246568;–;3,1008246568;–;–;–
7. Neubau;3,6452702034000004;–;3,6452702034000004;–;–;–
8. Josefstadt;2,0388516899;–;2,0388516899;–;–;–
9. Alsergrund;22,485041114700003;–;21,1466207557;–;–;1,338420359
10. Favoriten;1426,7247430272;887,5629126709;223,9402130275;111,48599022270001;119,67980158559999;84,0558255204
11. Simmering;926,3463849461001;413,13253714100006;307,54522134560005;103,6067757671;72,16352448170001;29,8983262108
12. Meidling;102,0290197612;5,558495914;73,6769609645;1,5076790743;13,120619905900002;8,1652639025
13. Hietzing;2650,3718971675003;22,6731868363;169,9907619247;2071,9406983063004;367,43697499980004;18,3302751005
14. Penzing;2024,6407660813002;34,7612914948;84,9826368285;1665,6960178073;213,8547418398;25,346078111
15. Rudolfsheim-Fünfhaus;33,607390081800006;–;23,2602180584;–;–;10,3471720234
16. Ottakring;261,400097045;10,2815270733;29,489848841400004;197,90417026350002;8,6412484822;15,083302384700001
17. Hernals;601,6695125040001;19,8350939184;26,495821340800003;470,6963571041;58,49550378880001;26,1467363518
18. Währing;171,2835194993;3,8331014168000004;50,9372833979;90,9989255818;17,0468333455;8,4673757573
19. Döbling;1190,6254651977001;353,9465793141;66,09605387330001;645,7106540289;101,72949052790001;23,1426874536
20. Brigittenau;51,558128893900005;–;31,192514464700004;2,4139053633;7,6218911366999995;10,3298179292
21. Floridsdorf;1762,7344075010003;1093,507118808;133,48511976470002;261,1941483066;200,14941874450003;74,39860187720001
22. Donaustadt;5582,8649098476;2600,8748126995;220,40844600840003;1696,0947901673;857,9745103341;207,5123506383
23. Liesing;952,5793000304001;173,8818399797;79,5526702198;538,4240601961;121,35605328240001;39,364676352400004
Quelle: Stadt Wien Stadtentwicklung und Stadtplanung – Realnutzungskartierung 2020.;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
