Verkehrsflächen nach Gemeindebezirken 2022;;;;;
Gemeindebezirk;Gemeindestraßen – befestigte, ausgebaute Flächen und Radverkehrsanlagen;;;;
;Fahrbahnen;"Gehsteige und
Fahrbahnteiler";"baulich gestaltete
Fußgängerzonen (1)";"baulich getrennt
ausgebildete Radwege";"Länge der
Radverkehrsanlagen"
;m²;;;;m
Wien;23657722;11376755;400134;443061;1720948,180645122
1. Innere Stadt;501285;365859;94689;8603;41008,676217456064
2. Leopoldstadt;1086061;570827;38009;53786;115199,33834046137
3. Landstraße;929896;487580;6300;29366;67406,78010730809
4. Wieden;270272;146753;8854;7990;15307,048699484643
5. Margareten;385194;197305;7376;5240;26375,316417651644
6. Mariahilf;233108;147962;14207;5617;18974,327995206353
7. Neubau;207608;141445;13269;2802;18653,608307375638
8. Josefstadt;170835;104503;3907;2323;11203,194766680692
9. Alsergrund;479857;264568;6579;5194;41404,91360970882
10. Favoriten;1943387;990703;57400;53923;141843,60454032224
11. Simmering;1269436;550736;2420;23311;80517,04947199878
12. Meidling;925647;536650;21042;11126;61446,135699529455
13. Hietzing;1108160;519812;–;2261;70720,65889140662
14. Penzing;1391291;603634;3659;6800;96320,77656965355
15. Rudolfsheim-Fünfhaus;606660;321989;21314;2922;39267,47090135572
16. Ottakring;828805;466529;9579;5859;46290,57689875199
17. Hernals;647047;320538;4826;4518;43886,66049308999
18. Währing;570791;315879;8167;3824;37101,0011617476
19. Döbling;1330498;617577;394;2593;68887,41722012885
20. Brigittenau;674773;360201;13871;19970;36707,046131129944
21. Floridsdorf;2483520;1130827;11911;72583;216693,44210495398
22. Donaustadt;3524617;1322393;45899;84373;323474,8791369059
23. Liesing;2088974;892485;6462;28077;102258,25696281414
Quelle: Stadt Wien Straßenverwaltung und Straßenbau und Stadt Wien Verkehrsorganisation und technische Verkehrsangelegenheiten.;;;;;
(1) Gesamtfläche aller 109 gemäß StVO verordneten Fußgängerzonen in Wien: 376.061 m².  Weiters gibt es 20 Begegnungszonen mit einer Länge von 6.276 m.;;;;;
;;;;;
