Straßenverkehrsunfälle – Verunglückte Personen nach Geschlecht und Gemeindebezirken 2022;;;;;;;;;;;;
Gemeindebezirk;Verletzte Personen;;;;Getötete Personen;;;;;;;
;insgesamt (1);Geschlecht;;darunter...;insgesamt;Geschlecht;;darunter...;;;;
;;Männer;Frauen;Kinder auf dem Schulweg;;Männer;Frauen;Kinder auf dem Schulweg;;;;
Wien;6421;3768;2650;70;18;10;8;0;;;;
1. Innere Stadt;346;187;159;1;1;0;1;0;;;;
2. Leopoldstadt;386;242;144;4;0;0;0;0;;;;
3. Landstraße;281;174;107;2;1;0;1;0;;;;
4. Wieden;137;83;54;0;0;0;0;0;;;;
5. Margareten;174;105;69;1;0;0;0;0;;;;
6. Mariahilf;147;88;59;0;1;1;0;0;;;;
7. Neubau;133;79;54;0;0;0;0;0;;;;
8. Josefstadt;83;47;36;0;0;0;0;0;;;;
9. Alsergrund;255;160;94;0;2;2;0;0;;;;
10. Favoriten;646;374;272;11;1;1;0;0;;;;
11. Simmering;249;150;99;5;1;-;1;0;;;;
12. Meidling;269;167;102;6;1;1;0;0;;;;
13. Hietzing;124;58;66;3;0;0;0;0;;;;
14. Penzing;275;174;101;3;1;0;1;0;;;;
15. Rudolfsheim–Fünfhaus;246;162;84;2;0;0;0;0;;;;
16. Ottakring;333;195;138;2;2;1;1;0;;;;
17. Hernals;137;66;71;1;0;0;0;0;;;;
18. Währing;170;95;74;1;0;0;0;0;;;;
19. Döbling;298;177;121;3;0;0;0;0;;;;
20. Brigittenau;218;120;97;2;1;1;0;0;;;;
21. Floridsdorf;540;317;223;8;4;3;1;0;;;;
22. Donaustadt;609;343;266;12;1;0;1;0;;;;
23. Liesing;365;205;160;3;1;0;1;0;;;;
Quelle: Statistik Austria  –  Statistik der Straßenverkehrsunfälle.;;;;;;;;;;;;
(1) Die Insgesamtzahl der verletzten Personen entspricht nicht der Summe aus verletzten Männern und verletzten Frauen, weil in 3 Fällen das Geschlecht im Unfallbericht nicht vermerkt wurde.;;;;;;;;;;;;
;;;;;;;;;;;;
