Flughafen Wien-Schwechat – Passagiere, Fluggüter und Flugverkehr (1) seit 2003;;;;;;;;
Jahr;Passagiere;;;Fluggüter;;;Zivilflugzeuge;
;insgesamt;Einreisende;Ausreisende;insgesamt;Fracht;Post;Landungen;Abflüge
;abs.;;;t;;;;
2003;12709432;6352906;6356526;127119;115686;11433;98398;98412
2004;14711592;7344288;7367304;158197;145543;12654;112275;112284
2005;15803435;7887370;7916065;180062;167492;12570;115346;115341
2006;16809215;8390705;8418510;201891;187848;14043;118639;118630
2007;18719275;9351386;9367889;205023;191789;13234;127337;127330
2008;19687629;9818152;9869477;201363;187302;14061;133105;133101
2009;18045675;9010324;9035351;198408;185724;12684;121620;121619
2010;19619958;9810503;9809455;231813;219334;12479;122988;123004
2011;21040715;10524717;10515998;213350;199809;13541;123003;123000
2012;22128387;11070202;11058185;191186,367;178046,172;13140,195;122331;122319
2013;21972929;10982737;10990192;190517,193;178826,016;11691,177;115587;115590
2014;22404584;11191968;11212616;210345;197761;12584;115388;115393
2015;22671848;11322679;11349169;209126;196274;12852;113404;113407
2016;23249778;11617972;11631806;216386,855;203032,627;13354,228;113200;113195
2017;24285827;12134489;12151338;220791,595;206918,155;13873,44;112286;112282
2018;26942692;13455603;13487089;242864;215921;13691;120504;120500
2019;31507717;15745238;15762479;220865;204733;16132;133405;133397
2020;7797576;3908277;3889299;154670;148177;6493;47931;47948
2021;10365654;5183661;5181993;176154,512;169822,699;6331,813;55778;55789
2022;23604515;11819836;11784679;176081;169488;6593;94209;94203
Quelle: Statistik Austria – Kommerzielle Zivilluftfahrt.;;;;;;;;
(1) Ohne Transit.;;;;;;;;
;;;;;;;;
