Unselbstständige Beschäftigung in Wien nach Altersgruppen und Geschlecht 2023;;;;;;
Altersgruppen;Insgesamt;;Unselbstständige Beschäftigungsverhältnisse;;;
;;;Geschlecht;;;
;;;Männer;;Frauen;
;absolut;%;absolut;%;absolut;%
Insgesamt;914591;100;471809;100;442782;100
bis 19;21376;2,3372195877720205;12328;2,6129217543539864;9048;2,043443500413296
20–24;68196;7,45644774549498;34598;7,333052146101495;33598;7,587932662122669
25–29;112186;12,26624797313772;56842;12,047671833305426;55344;12,499153082103609
30–34;121571;13,292389712997393;64525;13,676085025932103;57046;12,883540884679142
35–39;116271;12,712895709666943;61259;12,983855755189069;55012;12,424172617676419
40–44;113045;12,36016973707373;57396;12,165092230118542;55649;12,56803573767678
45–49;103915;11,361909312468633;51080;10,826414926379107;52835;11,932508548224634
50–54;108728;11,8881554705874;52121;11,047055058296895;56607;12,78439502960825
55–59;103968;11,367704252501937;50742;10,754775767312621;53226;12,020813854221716
60+;45335;4,95686049829924;30918;6,553075503010753;14417;3,2560040832734845
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
