Unselbstständige Beschäftigung in Wien nach Wirtschaftstätigkeiten und Geschlecht 2023;;;;
"Abschnitt
ausgewählte Abteilung (ÖNACE 2008)";Unselbstständige Beschäftigungsverhältnisse;;;
;insgesamt;Anteil in % (1);Geschlecht;
;;;Männer;Frauen
Unselbstständige Beschäftigung insgesamt;914591;100;471809;442782
Land- und Forstwirtschaft_ Fischerei;900;0,09840464207498215;562;338
Bergbau und Gewinnung von Steinen und Erden;86;0,009403110242720517;57;29
Herstellung von Waren;53214;5,8183384704201115;37438;15776
Herstellung von Nahrungs- und Futtermitteln;7579;0,8286764247625441;4449;3130
Herstellung von pharmazeutischen Erzeugnissen;5689;0,6220266764050816;3199;2490
Herstellung von Metallerzeugnissen;2938;0,32123648712921954;2262;676
Herstellung von elektrischen Ausrüstungen;6068;0,6634659645677685;4485;1583
Reparatur und Installation von Maschinen und Ausrüstungen;5639;0,6165597518453604;4568;1071
Rest;25301;2,766373165710137;18475;6826
Energieversorgung;6915;0,7560756666094461;5042;1873
Wasserversorgung_ Abwasser- und Abfallentsorgung;1352;0,14782564009486207;1049;303
Bau;52844;5,777883228678174;46759;6085
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;113944;12,458465040657519;55643;58301
Handel mit Kraftfahrzeugen_ Instandhaltung und Reparatur von Kraftfahrzeugen;9469;1,0353261731200067;7678;1791
Großhandel (ohne Handel mit Kraftfahrzeugen);44227;4,835713450055818;26062;18165
Einzelhandel (ohne Handel mit Kraftfahrzeugen);60248;6,587425417481694;21903;38345
Verkehr und Lagerei;39867;4,358997628448126;31863;8004
Beherbergung und Gastronomie;50722;5,545866950363605;28524;22198
Beherbergung;11957;1,307360339211735;5764;6193
Gastronomie;38765;4,2385066111518706;22760;16005
Information und Kommunikation;64833;7,0887423996081305;42789;22044
Telekommunikation;7152;0,7819888890225248;4722;2430
Erbringung von Dienstleistungen der Informationstechnologie;33444;3,6567164995063366;24124;9320
Informationsdienstleistungen;10839;1,1851199060563684;7157;3682
Rest;13398;1,4649171050229008;6786;6612
Erbringung von Finanz- und Versicherungsdienstleistungen;42093;4,6023851098469155;21133;20960
Erbringung von Finanzdienstleistungen;25517;2,7899902798081326;12762;12755
Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung);10813;1,1822771052853132;5305;5508
Rest;5763;0,630117724753469;3066;2697
Grundstücks- und Wohnungswesen;18972;2,0743698549406235;8131;10841
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;83165;9,093135620184324;38648;44517
Rechts- und Steuerberatung, Wirtschaftsprüfung;19104;2,088802535778288;5757;13347
Verwaltung und Führung von Unternehmen und Betrieben_ Unternehmensberatung;26590;2,9073104808597505;13443;13147
Architektur- u. Ingenieurbüros_ technische, physikalische u. chemische Untersuchung;16184;1,7695341414905679;9644;6540
Forschung und Entwicklung;9151;1,0005565329201798;4794;4357
Werbung und Marktforschung;9180;1,003727349164818;3862;5318
Rest;2956;0,3232045799707191;1148;1808
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;69090;7,554196356622797;37549;31541
Vermittlung und Überlassung von Arbeitskräften;19267;2,1066247098429787;13391;5876
Gebäudebetreuung_ Garten- und Landschaftsbau;28963;3,1667707204641204;12644;16319
Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a. n. g. (2);10745;1,1748420878840924;5111;5634
Rest;10115;1,105958838431605;6403;3712
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;141758;15,499605834739244;56416;85342
Erziehung und Unterricht;50691;5,542477457136577;19689;31002
Gesundheits- und Sozialwesen;70589;7,718094754923239;20248;50341
Kunst, Unterhaltung und Erholung;15472;1,6916851357601375;8306;7166
Erbringung von sonstigen Dienstleistungen;24724;2,703284856290954;9687;15037
"Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen
(ohne Sozialwesen und Sport)";16156;1,7664726637371242;6465;9691
Rest;8568;0,9368121925538301;3222;5346
Private Haushalte;805;0,0880174854115118;199;606
Exterritoriale Organisationen und Körperschaften;909;0,09938868849573197;396;513
Wirtschaftsklasse unbekannt;848;0,09271904053287207;434;414
PräsenzdienerInnen;510;0,05576263050915655;507;3
Kinderbetreuungs- und Karenzgeld-BezieherInnen;10288;1,1248743974082402;740;9548
Quelle: Dachverband der Sozialversicherungsträger.;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;
"(1) Anteil der Beschäftigungsverhältnisse in den einzelnen Abschnitten und Abteilungen. 
(2) a. n. g.: anderwertig nicht genannt.";;;;
