Versicherte Beschäftigungsverhältnisse in Wien nach Geschlecht 2023;;;
Beschäftigungsverhältnisse;Insgesamt;Geschlecht;
;;Männer;Frauen
Versicherte Beschäftigungsverhältnisse insgesamt;1122439;584003;538436
"Unselbstständige Beschäftigungsverhältnisse (inklusive geringfügige 
Beschäftigungsverhältnisse und geringfügig freie Dienstverträge)";1004379;512360;492019
Unselbstständige Beschäftigungsverhältnisse;914591;471809;442782
davon freie Dienstverträge;6926;3842;3084
Aktive unselbstständige Beschäftigungsverhältnisse;903793;470562;433231
Inaktive unselbstständige Beschäftigungsverhältnisse;10798;1247;9551
Karenzgeld-/KinderbetreuungsgeldbezieherInnen;10288;740;9548
PräsenzdienerInnen;510;507;3
"Geringfügige Beschäftigungsverhältnisse 
und geringfügig freie Dienstverträge";89788;40551;49237
Geringfügige Beschäftigungsverhältnisse;81290;36155;45135
Geringfügig freie Dienstverträge;8498;4396;4102
Selbstständige Beschäftigungsverhältnisse insgesamt;118060;71643;46417
Erwerbstätige nach Gewerblichem Sozialversicherungsgesetz;107596;65642;41954
Freie Berufe nach Freiberuflich Selbstständigen-Sozialversicherungsgesetz;9015;5074;3941
Erwerbstätige nach Bauern-Sozialversicherungsgesetz;1449;927;522
Quelle: Dachverband der Sozialversicherungsträger, Sozialversicherungsanstalt der Bauern, Sozialversicherungsanstalt der Gewerblichen Wirtschaft.;;;
