Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) in Wien nach Staatsangehörigkeit und Geschlecht sowie offene Stellen seit 2000;;;;;;;;
Jahr;Arbeitslose Personen (inkl. SchulungsteilnehmerInnen) im Jahresdurchschnitt;;;;;;;Offene Stellen
;Insgesamt;ÖsterreicherInnen;;;AusländerInnen;;;
;;insgesamt;Geschlecht;;insgesamt;Geschlecht;;
;;;Männer;Frauen;;Männer;Frauen;
2000;69142;57387,75000000003;32316,41666666667;25071,333333333372;11755,25;7878,166666666663;3877,083333333337;7016
2001;73546;58698,5833333333;33205;25493,5833333333;14848,249999999969;9998,166666666664;4850,083333333333;5173
2002;85411;67826,75000000003;38933,3333333333;28893,416666666628;17584,49999999997;11773,166666666668;5811,33333333333;3518
2003;92897;73371,8333333334;42538,91666666667;30832,9166666667;19525,24999999997;12944,5;6580,749999999997;2864
2004;96430;75398,5;43781,08333333337;31617,4166666667;21031,4166666667;13791;7240,41666666667;2943,33333333333
2005;99122;75543,5833333333;43542,99999999997;32000,58333333333;23577,83333333333;15085,66666666663;8492,16666666667;4284
2006;97589;73552,9166666667;42368;31184,91666666667;24036,333333333372;14925,999999999969;9110,33333333333;5188
2007;91063;68325;39355,33333333337;28969,666666666628;22738,083333333372;13926,66666666663;8811,41666666666;7112
2008;84643;62922,8333333333;36073,00000000003;26849,8333333333;21719,666666666628;13157,58333333337;8562,08333333334;7308,25
2009;95862;69695;40539,33333333333;29155,66666666667;26166,83333333333;15958,66666666667;10208,16666666667;6109
2010;100023;71468,8333333333;41183,4166666667;30285,416666666628;28553,833333333372;16682,5833333333;11871,25;6439
2011;100766;71324,1666666667;40952,16666666667;30372;29442,0833333333;17010,16666666667;12431,91666666666;5452
2012;108791;74509,9166666667;42800,75000000003;31709,166666666628;34281,0833333333;19937,916666666628;14343,16666666667;4576
2013;120816;80025,6666666667;46057,25;33968,4166666667;40790,3333333334;23743,666666666628;17046,666666666628;4169
2014;135545;86681,5833333334;50076,5833333333;36605,00000000003;48862,8333333333;28434,83333333333;20427,99999999997;4444
2015;149486;91271,8333333333;52873,9166666667;38397,9166666667;58214,5833333333;34643,5833333333;23571,00000000003;4558
2016;155948;90628,3333333333;52114;38514,33333333333;65319,3333333333;38820,6666666667;26498,666666666628;5374
2017;155127;88013,4166666666;50172,6666666667;37840,75000000003;67114,1666666666;39348,75;27765,416666666628;6865
2018;147691;81787;46264;35523;65904;37821;28083;10244
2019;140713;76747;42970;33777;63966;35342;28624;12785
2020;173923;91771,41666666666;51884,5;39886,916666666664;82152,16666666666;45261;36891,166666666664;9354
2021;158402;81986;46188;35798;76415;40879;35536;14192
2022;138341;67479,91666666669;37973,33333333334;29506,58333333334;70861,16666666672;39508,33333333334;31352,83333333333;17996
2023;142515;65384;36872;28512;77132;44425;32707;16939
Quelle: Arbeitsmarktservice Wien, Berechnung MA 23.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
