Arbeitslosenquoten in Wien nach nationaler und internationaler Definition nach Geschlecht seit 1995;;;;;;
Jahr;Nationale Arbeitslosenquote (1);;;Internationale Arbeitslosenquote (2);;
;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen
1995;7,3;7,9;6,4;5,334441821;5,289128492;5,387395756
1996;7,8;8,6;6,8;5,937241739;6,284828028;5,533840833
1997;8,3;9;7,4;6,311538143018849;6,794687457215769;5,753914334241793
1998;8,7;9,4;8;6,301035705643163;7,135310863744859;5,332094865135217
1999;8,1;8,8;7,4;5,7140026514399;6,699047709086863;4,540013344508655
2000;7,2;8;6,3;5,7;6,4;4,9
2001;7,6;8,7;6,5;5,8;6,5;5
2002;9;10,3;7,6;7,2;8,4;5,9
2003;9,5;11;7,9;7,8;8,8;6,6
2004;9,8;11,4;8,1;9,8;10,4;9,2
2005;9,7;11,3;8,1;10;11,5;8,3
2006;9,3;10,8;7,6;9,7;10,5;8,8
2007;8,5;9,9;7;9,3;9,8;8,7
2008;7,9;9,2;6,6;7,3;7,7;6,8
2009;8,7;10,3;7;8,8;9,9;7,6
2010;8,8;10,3;7,3;8,3;9,3;7,3
2011;9,2;10,6;7,9;8,1;8,6;7,4
2012;9,5;10,9;8,1;8,9;9,9;7,8
2013;10,2;11,7;8,6;9,3;9,8;8,6
2014;11,6;13,2;9,8;10,2;11,2;9,1
2015;13,5;15,4;11,3;10,6;12,2;8,8
2016;13,6;15,5;11,7;11,3;12,8630285639773;9,64883813016659
2017;13;14,6;11,3;10,4;11,7;8,9
2018;12,3;13,6;10,8;10;11,1;8,7
2019;11,7;12,8;10,6;9,3;10,2;8,3
2020;15,1;16,5;13,6;10,7;11,2;10
2021;12,7;13,8;11,6;12,1;12,7;11,4
2022;10,5;11,5;9,4;9,2;9,8;8,6
2023;10,6;11,8;9,3;9,6;10,3;8,8
Quelle: Arbeitsmarktservice Wien und Statistik Austria.;;;;;;
"(1) Ab 2008 erfolgt die Berechnung der Registerarbeitslosenquote auf Basis der vom Dachverband der
Sozialversicherungsträger rückwirkend ab Anfang 2008 umgestellten Beschäftigtenstatistik.
(2) Ab 2004: revidierte Daten aufgrund einer Stichprobenumstellung ab dem 4. Quartal 2014. Ab 2021: Zeitreihenbruch bei der internationalen Arbeitslosenquote aufgrund Definitionsänderungen bei der Erwerbstätigkeit und der Arbeitslosigkeit.";;;;;;
