BezieherInnen von Leistungen aus der Arbeitslosenversicherung in Wien nach Geschlecht seit 1991;;;;;;;;;
Jahr;Insgesamt;Geschlecht;;BezieherInnen von Leistungen aus der Arbeitslosenversicherung im Jahresdurchschnitt;;;;;
;;;;Arbeitslosengeld;;;Notstandshilfe;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
1991;43543;23898;19645;21929;12018;9911;21614;11880;9734
1992;45812;26016;19796;23198;13117;10081;22614;12899;9715
1993;52564;30510;22055;26657;15272;11385;25908;15238;10670
1994;52510;30864;21646;25099;14463;10636;27412;16402;11010
1995;54078;31973;22105;25331;14722;10609;28747;17251;11496
1996;57993;34608;23385;26281;15665;10616;31713;18943;12769
1997;61968;36491;25476;26565;15612;10954;35402;20880;14523
1998;65453;38150;27302;27143;16038;11104;38309;22112;16197
1999;61710;36239;25471;25738;15216;10522;35972;21023;14949
2000;58216;34405;23810;24333;14440;9894;33882;19966;13917
2001;59129;35703;23426;26800;16328;10472;32329;19375;12954
2002;69538,0000000001;42219,5833333334;27318,4166666667;31190,8333333334;18848,4166666667;12342,4166666667;38347,1666666667;23371,1666666667;14976
2003;72166;44049,75;28116,25;30167;18305,0833333333;11861,9166666667;41999;25744,6666666667;16254,3333333333
2004;73461,5833333333;44985,75;28475,8333333333;29147,6666666666;17772,0833333333;11375,5833333333;44313,9166666667;27213,6666666667;17100,25
2005;71421;43725;27696;28835;17531;11304;42586;26194;16392
2006;68159;42217;25942;26873;16472;10401;41286;25745;15541
2007;63534;39230;24304;25793;15679;10114;37741;23550;14190
2008;58937,0833333334;36038,75;22898,3333333334;25212,3333333334;15152,1666666667;10060,1666666667;33724,75;20886,5833333333;12838,1666666667
2009;65097,9166666666;40697,8333333333;24400,0833333333;29879,9166666666;18587,5833333333;11292,3333333333;35218;22110,25;13107,75
2010;65764,25;40604;25160,25;28551;17308;11243;37213;23296;13917
2011;68903,5;41879,25;27024,25;28817;17236;11581;40086;24643;15443
2012;72787;44394;28393;29804;18014;11790;42983;26380;16603
2013;78993,4166666667;48425,9166666667;30567,5;31921,75;19461,0833333333;12460,6666666667;47071,6666666667;28964,8333333333;18106,8333333333
2014;89596;54880;34715;34543;20853;13690;55052;34027;21025
2015;105736,083333333;64610;41126,0833333333;37051,0833333333;22024,8333333333;15026,25;68685;42585,1666666667;26099,8333333333
2016;107080;64590;42491;35629;20858;14771;71452;43732;27720
2017;103029;61607;41422;34843;20344;14499;68185;41263;26922
2018;99074;58453;40621;34443;20040;14402;64631;38413;26218
2019;96419;55803;40616;33730;19607;14123;62689;36193;26492
2020;124606;72528;52078;47456;28190;19266;77150;44338;32812
2021;105221;60782;44439;30091;17638;12453;75130;43143;31986
2022;87309;50756;36553;30627;18191;12437;56682;32565;24117
2023;88748;52005;36743;35343;20910;14433;53405;31095;22310
Quelle: Arbeitsmarktservice Wien.;;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;;
