GÃƒÂ¤steÃƒÂ¼bernachtungen in Wien nach Betriebskategorien und Monaten 2019;;;;;;
Monat;Insgesamt;GÃƒÂ¤steÃƒÂ¼bernachtungen;;;;
;;Hotels und ÃƒÂ¤hnliche Beherbergungsbetriebe;;;;Jugendherbergen
und Camping
;;5-Stern;4-Stern;3-Stern;2-/1-Stern *;
2019;17604573;1666548;7405244;4744396;2829762;958623
JÃƒÂ¤nner;1011914;101172;429940;275974;151157;53671
Februar;957951;93923;398904;264666;150655;49803
MÃƒÂ¤rz;1285059;115901;550294;367532;189487;61845
April;1567748;138499;632894;439475;269385;87495
Mai;1568883;147211;639359;443343;251116;87854
Juni;1574916;144968;653934;419985;260575;95454
Juli;1661177;156756;687111;438984;270511;107815
August;1818711;167958;753802;478125;307688;111138
September;1507048;144453;627882;410417;238559;85737
Oktober;1564072;148153;680402;407426;248337;79754
November;1370293;135093;599828;362870;210249;62253
Dezember;1716801;172461;750894;435599;282043;75804
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;
* EinschlieÃƒÅ¸lich ÃƒÅ“bernachtungen in privaten und gewerblichen Ferienwohnungen/Appartments.;;;;;;
