Nettoauslastung der GÃƒÂ¤stebetten in Wien nach Betriebskategorien seit 2000;;;;;
Jahr;Nettoauslastung der Hotels und ÃƒÂ¤hnlichen Beherbergungsbetrieben in %;;;;
;insgesamt;5-Stern;4-Stern;3-Stern;2-/1-Stern
2000;52,7;52,5723175922377;57,3152005213567;52,5169706583599;36,3120722942926
2001;52,5186890110795;53,1;55,5;52,8;35,1
2002;52,5877003797748;55,3;55,3;52,4;34,7
2003;54,2322569396072;56,2;57,5;54,9;34,1
2004;56,0838094878431;54,1417477941287;61,2395371655555;54,9504537165206;34,4627414830979
2005;56,6836563297771;55,7042795169774;61,9381027904611;55,3941705736234;32,7212422690735
2006;58,4005319910849;57,7214116815777;62,9062654954166;58,3186068214129;34,3
2007;58,2079533074512;57;60,1;59,2;45,3
2008;55,9305454546095;52,9;55,9;59,5;49,9
2009;51,2077797871659;51,3670320045277;51,7664829875622;52,152476638185;44,7449924566826
2010;56,8127957211487;54,5;58,8;56,9;49,2
2011;56,4816077207699;55,2856443223572;57,4744107011721;57,4456777808127;50,1584730382252
2012;56,682642587202;56,138125850109;57,4969520024788;57,4250786810948;51,5030339425996
2013;54,6748716925431;53,8597873472829;56,9523318331588;54,9788023238727;44,9780220830188
2014;56,3;53,3;58,4;57,5;48,4
2015;57;54,7;58,7;58,1;50,6
2016;58,3;52,2965283091048;61,2762531464043;59,0357272354803;52,3498633317636
2017;58,9;54,1;61,2;58,5;54,1
2018;60,2;55,3;61,6;61,1;56,1
2019;61,9;54,3;63,8;62,9;59,4
Quelle: Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;
