Nominelle BruttowertschÃƒÂ¶pfung in Wien nach Sektoren seit 2000;;;;;;;
Jahr (1);Insgesamt;Nominelle BruttowertschÃƒÂ¶pfung;;;;;
;;primÃƒÂ¤rer Sektor;;sekundÃƒÂ¤rer Sektor;;tertiÃƒÂ¤rer Sektor;
;Mio. EUR;Mio. EUR;%;Mio. EUR;%;Mio. EUR;%
2000;51456;31;6,02456467661692E-02;10228;19,8771766169154;41197;80,0625777363184
2001;53480;36;6,73148840688108E-02;10297;19,2539267015707;43147;80,6787584143605
2002;55301;35;6,32899947559719E-02;10250;18,5349270356775;45017;81,403591255131
2003;56013;37;6,60560941210076E-02;10396;18,559977148162;45580;81,373966757717
2004;57540;40;6,95168578380257E-02;10430;18,1265206812652;47069;81,8022245394508
2005;59891;34;5,67697984672154E-02;10319;17,2296338347999;49538;82,7135963667329
2006;63396;37;5,83633036784655E-02;11172;17,6225629377248;52186;82,3174963720109
2007;66054;42;6,35843400853847E-02;11115;16,8271414297393;54897;83,1092742301753
2008;68510;41;5,98452780615968E-02;11752;17,1537001897533;56717;82,7864545321851
2009;68001;29;4,26464316701225E-02;11560;16,9997500036764;56413;82,9590741312628
2010;69611;33;4,74063007283332E-02;11258;16,1727313211992;58320;83,7798623780724
2011;71967;24;3,33486181166368E-02;10773;14,9693609571053;61170;84,997290424778
2012;72950;17;2,33036326250857E-02;10983;15,0555174777245;61950;84,9211788896504
2013;74063;24;3,24048445242564E-02;11410;15,4;62630;84,6
2014;75613;23;3,04180498062503E-02;11082;14,7;64508;85,3
2015;77845;25;3,34070000513954E-02;11198;14,4;66622;85,6
2016;81658;34;0,040577429112461;12422;15,2;69202;84,7
2017;82909;32;3,82203642878471E-02;12394;14,9;70483;85
2018;86155;36;0;12683;14,7;73436;85,2
Quelle: Statistik Austria, Regionale Gesamtrechnungen, ESVG 2010.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
(1) 2018: vorlÃƒÂ¤ufige Werte.;;;;;;;
