Buttoregionalprodukt in Wien seit 2000;;;;;;
Jahr;Insgesamt;Bruttoregionalprodukt;;;;
;;Anteil Wiens am Bruttoinlandsprodukt Ãƒâ€“sterreichs;pro BeschÃƒÂ¤ftigungsverhÃƒÂ¤ltnis in EUR;;pro EinwohnerIn in EUR;
;Mio. EUR;%;Wien;Ãƒâ€“sterreich;Wien;Ãƒâ€“sterreich
2000;57660;26,99362377;64692,02289;54102,12249;37200;26700
2001;59843;27,13660583;66774,15755;55448,69377;38300;27400
2002;61965;27,32926103;69126,50602;56985,77461;39100;28100
2003;62666;27,02728347;70111,88185;57982,89487;39100;28600
2004;64529;26,62658656;72131,67896;60359,14423;39800;29700
2005;67364;26,51343107;74666,37109;62472,33833;41000;30900
2006;71019;26,51704104;76405,59441;64768,44574;42900;32400
2007;73965;26,04603173;78154,05748;67411,5748;44400;34200
2008;76694;26,10752922;79706,92164;68245,32466;45800;35300
2009;76313;26,49352182;79368,69475;67381,86582;45300;34500
2010;78130;26,40445831;80331,07136;68728,54389;46100;35400
2011;80747;26,03658478;81769,11392;70821,87714;47300;37000
2012;81982;25,72767242;81541,67496;72016,8599;47500;37800
2013;83118;25,66083171;82532,02264;72801,85202;47400;38200
2014;84750;25,4392968848493;83218,7745483111;74134,585428813;47600;39000
2015;87285;25,4;84825;76075;48100;39900
2016;91564;25,6070379914552;87171;77819;49400;40900
2017;92939;25,1;86973;79326;49500;42100
2018;96417;25;88270;81127;51000;43600
Quelle: Statistik Austria Ã¢â‚¬â€œ Regionale Gesamtrechnungen, ESVG 2010.;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
