WarenauÃƒÅ¸enhandel nach Produkthauptgruppen in Wien seit 2017;;;;;;
Warengruppe;Berichtsjahr (1);;;;;
;2017;;2018;;2019;
;Export;Import;Export;Import;Export;Import
;in Mio. EUR;;;;;
WarenauÃƒÅ¸enhandel insgesamt;19653,0904;36432,57597;19068,942849;38124,314703;20433,471325;38430,424884
Agrarprodukte;1159,4614;2346,858396;1086,898012;2517,592019;1174,885021;2656,308166
Chemische Erzeugnisse, Kunststoffe;7629,187648;8121,906427;7168,413236;8614,730067;8156,934141;9544,15138
Elektrische Maschinen und Apparate;2340,499541;4412,0871;2184,35786;4695,769201;2230,161144;4563,054736
Fahrzeuge;1793,801931;5245,75659;1768,476613;4677,415517;1874,221346;4688,113208
Gummi/Lederwaren;74,409662;480,953367;79,976866;518,225773;87,465775;499,44312
Holz, Papier, graphische Erzeugnisse;485,774898;913,738744;488,072963;910,891524;495,208544;867,990483
Instrumente, Waffen;758,055066;1600,173507;716,877031;1571,022041;735,190015;1658,82785
Keramische Erzeugung, Glas;1248,933118;2171,356561;1236,63029;2328,999;1315,489544;1559,527134
Maschinen, mechanische GerÃƒÂ¤te;1926,960303;3701,446186;2049,145648;3883,517135;2106,675151;4027,330656
Metallwaren;722,083988;1368,594637;739,544046;1452,716756;612,497075;1454,226067
MÃƒÂ¶bel, Spielwaren, Sonstiges;321,277586;986,668526;307,631655;1071,510799;310,89314;1035,930427
Rohstoffe/MineralÃƒÂ¶le;523,499543;3207,055884;505,252201;3902,634359;472,077969;3769,230228
Textilien/BekleidungsgegenstÃƒÂ¤nde;669,145714;1874,950715;737,666428;1979,290512;861,77246;2106,291429
Quelle: Statistik Austria Ã¢â‚¬â€œ AuÃƒÅ¸enhandelsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;
(1) WarenauÃƒÅ¸enhandel insgesamt: 2019 vorlÃƒÂ¤ufige Werte.;;;;;;
