VerÃƒÂ¤nderung des realen Bruttoregionalprodukts im BundeslÃƒÂ¤ndervergleich seit 2004 | in %;;;;;;;;;;;;;;;
Region;Berichtsjahr;;;;;;;;;;;;;;
;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Ãƒâ€“sterreich;2,7;2,2;3,5;3,7;1,5;-3,8;1,8;2,9;0,7;0;0,7;1;2,1;2,5;2,4
Burgenland;3,6;-0,7;0,8;3,4;0,8;-1,5;2,1;3;1,7;1,5;0,4;1;2;3,1;1,3
NiederÃƒÂ¶sterreich;4,4;1,4;4;5,2;3,8;-3,1;0,6;2,9;0;0,4;1,5;1,4;1,6;2,8;3,2
KÃƒÂ¤rnten;3,3;1,8;2,5;4,8;1,3;-5,1;2;3,8;-0,8;-0,6;0,5;-0,4;0,8;2,9;3,8
Steiermark;4,4;2;3;4,6;0,6;-6;2,2;3,6;2,3;-0,9;0,9;0,2;2,6;3,4;2,7
OberÃƒÂ¶sterreich;1,8;3,6;3,3;3,6;3,4;-6,6;2,9;3,8;0,4;1,1;1;0,8;1,9;2,8;2,4
Salzburg;4,5;2,1;4,5;4,9;-0,1;-3,9;3,9;2,8;1,3;-1,2;0,2;2;3,2;2,3;2,1
Tirol;1,9;4;4,1;2,6;-1,0;-3;1;2,4;2,5;0,3;0,9;2,2;1,8;2,2;1,7
Vorarlberg;4;2,4;3,6;4;1,4;-4,9;2,4;4;0,5;1,7;3;2,4;1,3;3,5;2,2
Wien;0,9;1,8;3,4;2,3;0,6;-1,2;1,4;1,9;-0,1;-0,5;-0,5;0,6;2,4;1,4;2
Quelle: Statistik Austria Ã¢â‚¬â€œ Regionale Gesamtrechnung, ESVG 2010.;;;;;;;;;;;;;;;
