Nominelle BruttowertschÃƒÂ¶pfung in Wien zu Herstellungspreisen seit 2013;;;;;;
Abschnitt
(Ãƒâ€“NACE 2008);Berichtsjahr;;;;;
;2013;2014;2015;2016;2017;2018
;Mio. EUR;;;;;
BruttowertschÃƒÂ¶pfung;74063;75613;77845;81658;82909;86155
Land- und Forstwirtschaft, Fischerei (A);24;23;25;34;32;36
Bergbau und Gewinnung von Steinen u. Erden (B);25;19;22;20;22;26
Herstellung von Waren  (C);5685;5568;5858;6752;6481;6155
Energieversorgung (D);1786;1491;1345;1572;1587;1819
Wasserversorgung; Abwasser- u. Abfallentsorgung u. Beseitigung v. Umweltverschmutzungen (E);540;585;600;606;630;654
Bau (F);3375;3419;3372;3471;3674;4029
Handel; Instandhaltung und Reparatur von KFZ (G);10009;10146;10185;10717;9953;10642
Verkehr und Lagerei (H);4232;4302;4406;4518;4519;4683
Beherbergung und Gastronomie (I);2405;2583;2681;2829;2926;3176
Information und Kommunikation (J);6056;6333;6543;7100;7346;7530
Erbringung von Finanz- und Versicherungsdienstl. (K);4905;5000;5149;4747;4829;4925
GrundstÃƒÂ¼cks- und Wohnungswesen (L);6920;7143;7410;7701;8175;8532
Erbringung v. freiberuflichen, wissenschaftl., techn. u. sonst. wirtschaftl. Dienstl. (M+N);10605;11042;11567;12141;12742;13286
Ãƒâ€“ffentliche Verwaltung, Verteidigung; Sozialversicherung (O);4465;4517;4687;4856;4974;5144
Erziehung und Unterricht (P);4755;4914;5091;5325;5482;5655
Gesundheits- und Sozialwesen (Q);5124;5316;5569;5897;6086;6365
Kunst, Unterhaltung und Erholung, Erbringung von sonst. Dienstl., private Haushalte (R,S,T);3155;3211;3335;3371;3453;3498
Quelle: Statistik Austria Ã¢â‚¬â€œ Regionale Gesamtrechnung, ESVG 2010 (Revisionsstand September 2019).;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;
