Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung in Wien seit 2008;;;;;;;;;
Jahr;"25- bis 64-Jährige
insgesamt";Höchste abgeschlossene Ausbildung;;;;;;;
;;Pflichtschule (1);Lehre;BMS (2);AHS;BHS (3);Kolleg;Akademie (4);Hochschule (5)
2008;960118;211714;255178;113654;95634;79703;9758;23221;171256
2009;961571;218372;247746;110910;94743;77995;9955;23116;178734
2010;967270;222866;243546;109067;96762;78541;9895;22670;183923
2011;972929;225417;240008;108142;96319;78775;9520;22827;191921
2012;984151;228950;236276;107182;96363;80032;9700;22772;202876
2013;996976;236980;231474;105515;96984;79247;9830;22283;214663
2014;1015869;244385;228885;105341;98924;80909;10153;22243;225029
2015;1037573;233785;240577;102607;108154;81731;9971;19992;240756
2016;1058579;237421;241562;103150;111789;82807;10324;19807;251719
2017;1073987;235973;242828;103753;117148;82608;10712;19633;261332
2018;1083257;235246;239260;102443;120434;81903;10855;19211;273905
2019;1094558;234467;236757;101586;122391;82472;11156;18918;286811
2020;1101077;235023;231916;99857;124009;82579;11372;18286;298035
2021;1109170;234716;229372;98479;125217;82500;11570;17939;309377
2022;1135015;238561;228479;100131;128047;83804;11808;19225;324960
"(1) Inklusive Personen ohne Pflichtschulabschluss.
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
(3) Inklusive lehrerbildende höhere Schulen.
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge.
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.";;;;;;;;;
