Bildungsstand der 25- bis 64-jährigen Wohnbevölkerung nach Bundesländern 2022;;;;;;;;
Bundesland;Höchste abgeschlossene Ausbildung;;;;;;;
;Pflichtschule (1);Lehre;BMS (2);AHS;BHS (3);Kolleg;Akademie (4);Hochschule (5)
;%;;;;;;;
Österreich insgesamt;17,1;32;13,9;6,6;9,1;0,9;2;18,4
Burgenland;14,3;33,8;18,2;5,6;11,6;0,8;2,1;13,6
Kärnten;13,6;37,5;15,1;5;10,7;0,7;2,1;15,2
Niederösterreich;15;33,5;16,5;5,6;11,1;0,9;2,1;15,3
Oberösterreich;18,2;36,9;14,9;4,3;8,9;0,5;2;14,3
Salzburg;15,5;34,9;14,7;6,1;8,5;0,7;2,1;17,4
Steiermark;14,9;36,8;13,9;5,8;9,1;1;1,8;16,7
Tirol;16,8;34,8;15,5;5,4;8;0,8;2,2;16,5
Vorarlberg;19,6;34,7;15,4;5;8,1;0,8;2,3;14,1
Wien;21;20,1;8,8;11,3;7,4;1;1,7;28,6
Quelle: Statistik Austria – Bildungsstandregister.;;;;;;;;
"(1) Inklusive Personen ohne Pflichtschulabschluss.
(2) Inklusive mittlere Schulen des Gesundheitswesens, Schulen für Gesundheits- und Krankenpflege sowie Meister- und Werkmeisterprüfung.
(3) Inklusive lehrerbildende höhere Schulen.
(4) Abschluss einer Berufs- und lehrerbildenden Akademie, Akademie im Gesundheitswesen_ inklusive Abschlüsse verschiedener Universitätslehrgänge.
(5) Abschluss an öffentlichen Universitäten, Privatuniversitäten, Fachhochschulen, Pädagogischen Hochschulen (einschließlich anerkannter privater Studiengänge privater Rechtsträger, ohne Lehrgänge zur Fortbildung) und Theologischen Lehranstalten. Inklusive Abschlüsse postgradualer Universitätslehrgänge oder Lehrgänge universitären Charakters.";;;;;;;;
