Anteil der Kinder in institutionellen elementaren Bildungs- und Betreuungseinrichtungen in Wien seit 1995 in % der gleichaltrigen Wohnbevölkerung;;;;;;;;;
Jahr;Anteil der Kinder im Alter von …;;;;;;;;
;0- bis 2-jährigen Kindern;0 Jahren;1 Jahr;2 Jahren;3 bis 5 Jahren (1);3 Jahren;4 Jahren;5 Jahren;6 bis 9 Jahren (2)
1995;16,904209479615513;–;–;–;75,86640038953615;–;–;–;24,880858387626315
1996;18,316084970880294;–;–;–;76,67262217551234;–;–;–;25,030937489548144
1997;19,67139400600969;–;–;–;77,95001826201782;–;–;–;25,492171798761287
1998;22,398874326372823;–;–;–;77,4906175366769;–;–;–;24,35164502328399
1999;24,14305360465373;–;–;–;78,31613417497898;–;–;–;24,196810787671236
2000;24,29231508520312;–;–;–;79,90809870987538;–;–;–;25,008524785814757
2001;25,182692307692307;–;–;–;80,3378453965768;–;–;–;25,15793665314205
2002;23,615478686233406;–;–;–;81,55687257807158;–;–;–;25,269193803248246
2003;21,4;–;–;–;82,3;–;–;–;25,1
2004;21,7;–;–;–;81,7;–;–;–;26,5
2005;22,1;–;–;–;81,4;–;–;–;27,163251432456054
2006;22,345309381237524;–;–;–;80,58566743948033;–;–;–;27,841157337734842
2007;23,100067747977523;–;–;–;83,11967135277968;–;–;–;29,258232800782523
2008;25,516609210290337;–;–;–;85,32570961813354;–;–;–;29,931381076640573
2009;26,81078101313173;1,7;23,7;55;86,00415597115267;80,8;88,9;88,3;30,254797407324627
2010;28,052830771607322;1,6;25,3;57,3;91,33960492939461;85,1;95,6;93,4;30,729388728346517
2011;33,22812322812323;3,8;33,7;63,1;88,87855276700182;84,9;89,6;92,3;26,710943818826603
2012;34,75317506200929;4,4;35,6;64,3;88,28712909891995;85,4;88,9;90,6;26,26613015124185
2013;40,32475072340896;6,1;44,7;69,7;88,29842379096512;86,4;88,3;90,2;25,94832325453546
2014;40,16467607672819;5,3;43;73,1;92,582422749243;89,7;93,4;94,8;25,435095721058634
2015;45,1;9;51,3;76,4;93,4;90,8;94,3;95,2;24,8
2016;44,3;7,9;51,1;75,1;93,6;89,7;93,9;97,3;23,6
2017;44,2;8;50,1;75,4;93,6;89,3;94,4;97,2;23,1
2018;44;7,4;49,8;74,1;93,2;89,2;94,6;96;21,4
2019;44;6,7;48,5;74,6;92,6;88,9;93,9;95,2;32,3
2020;43,1;7;47,3;72,7;89;87,6;84,7;95;23,2
2021;44,3;6,3;49,5;75,7;92,3;89,7;93,3;94;23,2
2022;42;4,7;46,1;73,9;94;91;93,8;97,2;22,9
2023;46,2;10,5;54,1;71,5;92;89,8;91,5;94,6;17,7
Quelle: Statistik Austria – Kindertagesheimstatistik.;;;;;;;;;
Anmerkung: Ohne Kinder bei Tageseltern. Ohne Berücksichtigung vorzeitig eingeschulter 5-jähriger Kinder.;;;;;;;;;
"(1) Der Anstieg bei der Quote der 3- bis 5-jährigen Kinder im Jahr 2014 ist auch auf die Untererfassung in den Vorjahren von neu eröffneten ""Kindergruppen"" zurückzuführen.
(2) Seit dem Jahr 2017/18 stehen nur Eckdaten über Kinder in privaten Horten zur Verfügung, die ausgewiesenen Werte wurden geschätzt.";;;;;;;;;
