Kleingartenparzellen nach Flächenwidmung und Gemeindebezirken 2021;;;;;;;;
Gemeindebezirk;Insgesamt;Kleingartenparzellen nach Flächenwidmung;;;;;;
;;"Kleingarten-
gebiete";"für ganzjähriges
Wohnen";"Gartensiedlungs-
gebiete";Bauland;"Grundflächen für
Badehütten";"Erholungs-, Agrar-
und Schutzgebiete";"Verkehrs-
flächen (1)"
Wien;35918;2244;24394;5992;516;1524;661;587
1, Innere Stadt;–;–;–;–;–;–;–;–
2, Leopoldstadt;1921;104;1723;82;–;–;6;6
3, Landstraße;140;–;140;–;–;–;–;–
4, Wieden;–;–;–;–;–;–;–;–
5, Margareten;–;–;–;–;–;–;–;–
6, Mariahilf;–;–;–;–;–;–;–;–
7, Neubau;–;–;–;–;–;–;–;–
8, Josefstadt;–;–;–;–;–;–;–;–
9, Alsergrund;–;–;–;–;–;–;–;–
10, Favoriten;3727;13;3298;180;16;153;25;42
11, Simmering;2169;104;1503;446;38;–;26;52
12, Meidling;1488;65;1290;52;–;–;–;81
13, Hietzing;1325;417;725;107;4;–;29;43
14, Penzing;3576;95;2988;95;131;85;77;105
15, Rudolfsheim-Fünfhaus;661;661;–;–;–;–;–;–
16, Ottakring;1460;20;1329;75;14;–;20;2
17, Hernals;2255;156;1393;652;34;–;15;5
18, Währing;628;36;395;138;32;–;27;–
19, Döbling;1761;413;1049;73;7;101;68;50
20, Brigittenau;176;43;31;–;–;–;20;82
21, Floridsdorf;5546;107;4235;776;174;104;107;43
22, Donaustadt;7595;10;3609;3073;63;585;198;57
23, Liesing;1490;–;686;243;3;496;43;19
Quelle: Stadt Wien Immobilienmanagement,;;;;;;;;
(1) Derzeit noch nicht für den Verkehr genützte Flächen,;;;;;;;;
;;;;;;;;
