Eheschließungen für Wien seit 1961 – Kennziffern;;;;;;;;;;
Jahr;Eheschließungen *;;;;;;Gesamtheiratsrate **;;Durchschnittliches
Erstheiratsalter **;
;insgesamt;beide Partner (Ö);Mann (Ö) Frau (F);Frau (Ö) Mann (F);beide Partner (F);beiderseitige Erst-Ehen 
(%);Geschlecht;;Geschlecht;
;;;;;;;Männer;Frauen;Männer;Frauen
1961;.;.;.;.;.;65,5;.;.;25,29;23,06
1962;.;.;.;.;.;67,8;.;.;24,98;22,92
1963;.;.;.;.;.;67,4;.;.;25,01;22,98
1964;.;.;.;.;.;66,9;.;.;25,05;22,97
1965;.;.;.;.;.;67,1;.;.;25,15;23,12
1966;.;.;.;.;.;67,3;.;.;25,12;23,04
1967;.;.;.;.;.;66,2;.;.;25,25;23,2
1968;.;.;.;.;.;66,7;.;.;25,2;23,26
1969;.;.;.;.;.;65,1;.;.;25,4;23,45
1970;12891;11797;583;308;203;63,2;0,81;0,94;25,53;23,52
1971;11340;10395;513;267;165;60,4;0,7;0,82;25,8;23,64
1972;12832;11530;650;353;299;62,5;0,85;0,97;25,91;23,59
1973;11647;10290;663;335;359;60,9;0,77;0,88;25,85;23,52
1974;11218;9732;677;334;475;60,2;0,76;0,83;25,87;23,36
1975;10147;8810;726;348;263;58,3;0,69;0,74;26,12;23,47
1976;9934;8643;705;363;223;57,1;0,68;0,71;26,16;23,5
1977;9411;8263;592;326;230;57,3;0,65;0,67;26,19;23,52
1978;9663;8351;658;387;267;57,2;0,67;0,67;26,18;23,67
1979;9801;8347;726;433;295;57,1;0,68;0,67;26,16;23,65
1980;9994;8494;705;453;342;58,8;0,7;0,68;26,05;23,43
1981;10540;8694;861;555;430;58,3;0,72;0,71;26,04;23,69
1982;10576;8596;976;597;407;59,7;0,73;0,72;26,08;23,84
1983;11482;9471;979;649;383;62,4;0,81;0,79;26,15;23,96
1984;9838;8305;529;620;384;58,1;0,65;0,64;26,27;23,92
1985;9689;8027;549;669;444;55,5;0,61;0,6;26,54;24,39
1986;9968;8133;606;722;507;57,8;0,63;0,62;26,68;24,49
1987;14876;12493;745;943;695;67;1,02;1,02;26,78;24,66
1988;8641;6514;737;932;458;51,4;0,48;0,49;27,12;24,96
1989;10217;7213;1010;1482;512;53,7;0,58;0,59;27;25,13
1990;10723;7441;1207;1486;589;54,1;0,6;0,61;27,24;25,34
1991;10229;6995;1222;1395;617;52,8;0,54;0,57;27,56;25,67
1992;10994;7037;1444;1692;821;53,8;0,59;0,61;27,69;25,79
1993;10685;6584;1760;1447;894;55,4;0,57;0,6;28,18;26,15
1994;9768;6359;1455;1169;785;55,9;0,53;0,56;28,65;26,58
1995;9548;6334;1365;999;850;56,3;0,53;0,56;29,02;26,91
1996;9146;6278;1296;882;690;56,4;0,51;0,54;29,36;27,19
1997;9227;6345;1327;853;702;55,7;0,52;0,55;29,53;27,5
1998;8693;5874;1326;901;592;56,5742551478201;0,51;0,54;29,85;27,7
1999;9104;5948;1487;1033;636;55,3602811950791;0,53;0,56;30,01;27,83
2000;9007;5661;1702;1065;579;55,1682025091595;0,52;0,56;30,3;28,08
2001;8387;4701;1992;1152;542;52,52175986646;0,48;0,51;30,35;28
2002;9266;4837;2144;1707;578;51,5001079214332;0,51;0,55;30,38;28,08
2003;9836;4675;2417;2145;599;50,9861732411549;0,54;0,57;30,4;28,1
2004;10703;4878;2533;2588;704;49,4253947491358;0,57;0,59;30,46;28,26
2005;9956;4918;2222;2055;761;50,5725190839695;0,52;0,54;30,91;28,6
2006;8362;4915;1571;1148;728;53,8627122697919;0,43;0,46;31,43;29,25
2007;7931;4841;1411;964;715;55,2389358214601;0,41;0,44;31,2766947842822;28,8311479265385
2008;7703;4714;1284;904;801;56,5493963390887;0,41;0,42;31,1589992406106;28,7902886770085
2009;7715;4684;1374;820;837;58,2372002592353;0,41;0,43;31,1218586298257;29,0121196489351
2010;8162;4757;1481;1038;886;57,6329331046312;0,43;0,45;31,38383886028;29,1806897090563
2011;7910;4597;1492;941;880;58,0657395701644;0,41;0,43;31,5573186810666;29,4427672477663
2012;7938;4683;1450;918;887;61,3378684807256;0,423430566426678;0,439170213994851;31,9416699163186;29,7597446053615
2013;7814;4483;1427;923;981;62,0296902994625;0,410047858623629;0,416799409546444;32,1610261683587;29,8439686127719
2014;8075;4625;1358;960;1132;63,9752321981424;0,417369426745729;0,428881887398975;32,1466627671755;30,0476096461971
2015;9526;4875;1696;1601;1354;64,4236825530128;0,473772501347385;0,499344579130392;32,0429687833209;30,0158406871453
2016;9914;5008;1775;1675;1456;65,5537623562639;0,483481252182026;0,511883184806925;32,2742952187617;30,1293828752681
2017;9525;4924;1734;1558;1309;65,7217847769029;0,456477649465799;0,482132479015097;32,2754;30,4591
Quelle: Statistik Austria und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;;
* Ö = Österreichische Staatsangehörigkeit; F = Fremde Staatsangehörigkeit.
** Vor dem 50. Geburtstag.;;;;;;;;;;
