Bevölkerung nach ausländischer Herkunft, Geschlecht und Gemeindebezirken 2019;;;;;;;;;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1.1.;;;Ausländische Herkunft;;;;;
;;;;ohne;;;mit;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1897491;925003;972488;1124315;543997;580318;773176;381006;392170
1. Innere Stadt;16306;7849;8457;10356;5167;5189;5950;2682;3268
2. Leopoldstadt;104946;51702;53244;57301;28008;29293;47645;23694;23951
3. Landstraße;91745;44500;47245;53129;25733;27396;38616;18767;19849
4. Wieden;33263;16109;17154;19078;9353;9725;14185;6756;7429
5. Margareten;55407;27473;27934;28406;13945;14461;27001;13528;13473
6. Mariahilf;31864;15579;16285;18930;9300;9630;12934;6279;6655
7. Neubau;32288;15558;16730;19714;9516;10198;12574;6042;6532
8. Josefstadt;25466;12682;12784;15507;7507;8000;9959;5175;4784
9. Alsergrund;41958;20153;21805;24694;11959;12735;17264;8194;9070
10. Favoriten;204142;101964;102178;104617;51118;53499;99525;50846;48679
11. Simmering;103008;50663;52345;60685;29728;30957;42323;20935;21388
12. Meidling;97634;47955;49679;52489;25489;27000;45145;22466;22679
13. Hietzing;53778;25176;28602;38440;18141;20299;15338;7035;8303
14. Penzing;92990;45262;47728;59977;28928;31049;33013;16334;16679
15. Rudolfsheim-Fünfhaus;77621;39163;38458;36105;17737;18368;41516;21426;20090
16. Ottakring;103785;51580;52205;54871;26589;28282;48914;24991;23923
17. Hernals;57292;28177;29115;32122;15403;16719;25170;12774;12396
18. Währing;51587;24035;27552;32817;15191;17626;18770;8844;9926
19. Döbling;72947;34001;38946;47031;22014;25017;25916;11987;13929
20. Brigittenau;86502;42876;43626;42842;20887;21955;43660;21989;21671
21. Floridsdorf;165673;80259;85414;108856;52884;55972;56817;27375;29442
22. Donaustadt;191008;91740;99268;130820;63508;67312;60188;28232;31956
23. Liesing;106281;50547;55734;75528;35892;39636;30753;14655;16098
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
