Gesamtwanderungssaldo nach Gemeindebezirken seit 2011;;;;;;;;
Gemeindebezirk;Berichtsjahr;;;;;;;
;2011;2012;2013;2014;2015;2016;2017;2018
Wien;11821;22314;22711;26692;39185;22277;16791;5679
1. Innere Stadt;-60;13;-91;236;120;87;34;-83
2. Leopoldstadt;1072;148;2477;1743;1175;1349;262;-791
3. Landstraße;523;806;830;1478;1525;193;372;817
4. Wieden;153;267;427;216;1035;218;238;-35
5. Margareten;-375;337;348;489;460;179;81;-348
6. Mariahilf;45;714;493;334;636;165;209;-231
7. Neubau;-65;142;435;434;587;83;142;-209
8. Josefstadt;128;332;300;192;462;407;64;-208
9. Alsergrund;50;486;452;226;2141;-508;-228;-628
10. Favoriten;1469;3894;3415;2577;4492;2470;3183;1589
11. Simmering;441;780;931;1402;1867;2433;821;1199
12. Meidling;411;1002;1184;1209;1726;1519;1529;-51
13. Hietzing;–;444;668;1037;1803;435;223;-252
14. Penzing;521;1317;1264;1599;2223;606;278;180
15. Rudolfsheim-Fünfhaus;-79;1701;871;1151;1625;240;-285;-1543
16. Ottakring;450;1595;1206;1258;1451;1235;-154;-1199
17. Hernals;139;736;703;998;479;593;90;-482
18. Währing;-51;535;147;660;998;712;379;-197
19. Döbling;597;722;649;995;1807;687;734;587
20. Brigittenau;66;362;36;922;-35;690;13;-902
21. Floridsdorf;2073;2149;2261;2672;4006;2399;3606;2472
22. Donaustadt;3205;2959;2788;4146;6805;3398;2360;3530
23. Liesing;1108;873;917;718;1797;2687;2840;2464
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
