Sonnenscheindauer, Bewölkung und Luftdruck in Wien nach Monaten 2023;;;;;;;
Monat;Sonnenscheindauer;;Bewölkungs-mittel in %;Luftdruck;;;
;h;Abweichung vom NW (1) in %;;mittlerer;Abweichung vom NW (1);höchster;tiefster
;;;;hPa;;;
2023;2004;3,8341968911917093;66,43611111111112;991,0916666666666;-0,9749999999999964;1016,6;961,4
Jänner;44;-36,7816091954023;85;992,4;-2,5;1009,7;965
Februar;106;5,6829511465603275;69;1002;8,7;1016,6;974,6
März;151;5,890603085554005;75;987,3;-4,2;1001,7;969,7
April;141;-28,46270928462708;73;990,2;1,1;1000,7;975,2
Mai;240;0,5446166736489317;64;993,7;3,5;999,9;984
Juni;252;6,689246401354794;59;991,3;0,5;998,2;984,5
Juli;281;7;59;989,4;-1,8;997,4;979,1
August;227;-9,70564836913286;58;989,7;-1,5;999,1;977,9
September;257;41,20879120879121;40;994,2;1,7000000000000455;1003,2;979,7
Oktober;151;13,876319758672693;68;988,7;-5;1003,3;963,4
November;94;42,424242424242436;72,23333333333333;983,8;-8,9;1002,5;961,4
Dezember;60;16,959064327485393;75;990,4;-3,3;1014,1;968,5
Quelle: GeoSphere Austria.;;;;;;;
(1) NW = Normalwert_ Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.;;;;;;;
