Ausgaben für F&E nach Durchführungssektoren und Ausgabenarten in Wien 2021;;;;;
Sektoren, Bereiche;Insgesamt;davon;;;
;;Personalausgaben;Laufende Sachausgaben;Ausgaben für Ausrüstungsinvestitionen;Bauausgaben und Ausgaben für Liegenschaftsankäufe
;in 1.000 EUR;;;;
Insgesamt;4306764;2156934;1864150;202861;82819
Hochschulsektor;1499577;721427;652264;76526;49360
Universitäten (ohne Kliniken);1220962;570854;550046;66991;33071
Universitätskliniken;191306;104318;65196;7042;14750
Universitäten der Künste;34135;20910;12759;466;–
Fachhochschulen;27273;12122;14441;603;107
Privatuniversitäten;21887;9388;9644;1423;1432
Pädagogische Hochschulen;4014;3835;178;1;–
Sektor Staat (1);574049;294479;232794;24122;22654
Landeskrankenanstalten;74165;31176;39873;1639;1477
Akademie der Wissenschaften;168783;68418;94808;5048;509
Privater gemeinnütziger Sektor (2);34000;19734;12414;1330;522
Unternehmenssektor;2199138;1121294;966678;100883;10283
Kooperativer Bereich (3);22126;16379;5331;406;10
Firmeneigener Bereich;2177012;1104915;961347;100477;10273
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
"1) Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ einschließlich Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. 
2) Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
3) Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren.";;;;;
