Beschäftigte in F&E nach Durchführungssektoren/Erhebungsbereichen und Beschäftigtenkategorien in Wien 2021;;;;;
Sektoren, Bereiche;F&E durchführende Erhebungseinheiten;Beschäftigte;;;
;;insgesamt;wissenschaftliches Personal;höherqualifiziertes nichtwissenschaftliches Personal;sonstiges Hilfspersonal
Kopfzahlen;;;;;
Insgesamt;1700;51124;37408;10193;3523
Hochschulsektor;566;25384;19949;3410;2025
Universitäten (ohne Kliniken);481;19363;15386;2544;1433
Universitätskliniken;30;3777;2694;628;455
Universitäten der Künste;38;1126;953;108;65
Fachhochschulen;7;540;426;106;8
Privatuniversitäten;7;464;380;24;60
Pädagogische Hochschulen;3;114;110;–;4
Sonstiger Hochschulsektor;–;–;–;–;–
Sektor Staat (1);158;7187;5011;1464;712
Landeskrankenanstalten;;;;;
Akademie der Wissenschaften;30;1578;1173;363;42
Privater gemeinnütziger Sektor (2);27;568;424;101;43
Unternehmenssektor;949;17985;12024;5218;743
Kooperativer Bereich (3);14;503;409;46;48
Firmeneigener Bereich;935;17482;11615;5172;695
Vollzeitäquivalente;;;;;
Insgesamt;1700;26634,1;19285,2;5736,1;1612,6999999999998
Hochschulsektor;566;9715;7556,4;1387,3;771,4
Universitäten (ohne Kliniken);481;7968,7;6251,8;1113,6;603,4
Universitätskliniken;30;1130,2;777,7;223,8;128,7
Universitäten der Künste;38;282,6;227,4;33,3;21,9
Fachhochschulen;7;170,5;155,6;13,2;1,7
Privatuniversitäten;7;121,6;103,8;3,5;14,2
Pädagogische Hochschulen;3;41,6;40,2;–;1,5
Sonstiger Hochschulsektor;–;–;–;–;–
Sektor Staat (1);158;3533,6;2571;648,9;313,6
Landeskrankenanstalten;;;;;
Akademie der Wissenschaften;30;963,5;736;214,9;12,6
Privater gemeinnütziger Sektor (2);27;294,8;230,6;47,3;16,8
Unternehmenssektor;949;13090,7;8927,2;3652,6;510,9
Kooperativer Bereich (3);14;290,5;243,7;21,3;25,5
Firmeneigener Bereich;935;12800,2;8683,5;3631,3;485,4
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;
"1) Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ ohne Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria auf Basis der Meldungen der Ämter der Landesregierungen. Daher liegen keine Daten über Beschäftigte in F&E vor. 
2) Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
3) Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren.";;;;;
