Ausgaben für F&E nach Durchführungssektoren und Forschungsarten in Wien 2021;;;;;;;
Sektoren, Bereiche;Ausgaben für F&E insgesamt;davon …;;;;;
;;Grundlagenforschung;;Angewandte Forschung;;Experimentelle Entwicklung;
;in 1.000 EUR;in 1.000 EUR;in %;in 1.000 EUR;in %;in 1.000 EUR;in %
Insgesamt;4232599;1163143;27,5;1519197;35,9;1550259;36,6
Hochschulsektor;1499577;801045;53,5;546351;36,4;152181;10,1
Universitäten (ohne Kliniken);1220962;709651;58,2;398599;32,6;112712;9,2
Universitätskliniken;191306;55719;29,1;106819;55,9;28768;15
Universitäten der Künste;34135;19378;56,8;8980;26,3;5777;16,9
Fachhochschulen;27273;2078;7,6;22200;81,4;2995;11
Privatuniversitäten;21887;13725;62,7;7224;33;938;4,3
Pädagogische Hochschulen;4014;494;12,3;2529;63;991;24,7
Sektor Staat (1);499884;239899;48;211043;42,2;48942;9,8
Landeskrankenanstalten;;;;;;;
Akademie der Wissenschaften;168783;158738;94,1;7670;4,5;2375;1,4
Privater gemeinnütziger Sektor (2);34000;7258;21,3;23662;69,6;3080;9,1
Unternehmenssektor;2199138;114941;5,2;738141;33,6;1346056;61,2
Kooperativer Bereich (3);22126;7810;35,3;10728;48,5;3588;16,2
Firmeneigener Bereich;2177012;107131;4,9;727413;33,4;1342468;61,7
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung, Sonderauswertung für Wien.;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;
"1) Bundesinstitutionen (unter Ausklammerung der im Hochschulsektor zusammengefassten), Landes-, Gemeinde- und Kammerinstitutionen, F&E-Einrichtungen der Sozialversicherungsträger, von der öffentlichen Hand finanzierte und/oder kontrollierte private gemeinnützige Institutionen sowie F&E-Einrichtungen der Ludwig Boltzmann Gesellschaft_ einschließlich Österreichische Akademie der Wissenschaften und AIT Austrian Institute of Technology GmbH_ ohne Landeskrankenanstalten. Die Landeskrankenanstalten wurden nicht mittels Fragebogenerhebung erfasst, sondern es erfolgte eine Schätzung der F&E-Ausgaben durch Statistik Austria unter Heranziehung der Meldungen der Ämter der Landesregierungen. Eine Aufgliederung der F&E-Ausgaben nach Forschungsarten liegt nicht vor. 
2) Private gemeinnützige Institutionen, deren Status ein vorwiegend privater oder privatrechtlicher, konfessioneller oder sonstiger nicht öffentlicher ist. 
3) Ordentliche Mitglieder der Austrian Cooperative Research (ACR) und Kompetenzzentren.";;;;;;;
