Lehrlinge in Wien nach Lehrjahren und Geschlecht seit 2002;;;;;;;;;;;
Jahr;Insgesamt;Lehrlinge;;;;;;;;;
;;Geschlecht;;im 1, Lehrjahr;;im 2, Lehrjahr;;im 3, Lehrjahr;;im 4, Lehrjahr;
;;Männer;Frauen;Geschlecht;;Geschlecht;;Geschlecht;;Geschlecht;
;;;;Männer;Frauen;Männer;Frauen;Männer;Frauen;Männer;Frauen
2002;16040;10068;5972;2911;1882;3008;2000;3040;1979;1109;111
2003;16043;10125;5918;2848;1732;2955;2053;3155;2024;1167;109
2004;15772;10069;5703;2905;1655;2930;1941;3074;2025;1160;82
2005;16202;10244;5958;3139;2052;3132;2004;2834;1809;1139;93
2006;16963;10621;6342;3180;2030;3243;2230;3096;1964;1102;118
2007;17426;10678;6748;3290;2225;3217;2264;3127;2153;1044;106
2008;18293;11221;7072;3322;2207;3359;2364;3310;2397;1230;104
2009;18829;11773;7056;3896;2518;3467;2263;3204;2128;1206;147
2010;19187;11892;7295;3923;2516;3604;2499;3216;2134;1149;146
2011;19267;11978;7289;3719;2317;3567;2468;3448;2353;1244;151
2012;19078;11691;7387;3562;2481;3494;2419;3419;2329;1216;158
2013;18226;11217;7009;3410;2186;3261;2451;3352;2228;1194;144
2014;17406;10606;6800;3297;2190;3193;2213;3016;2287;1100;110
2015;16918;10414;6504;3318;2078;3039;2214;3047;2103;1010;109
2016;16832;10441;6391;3474;2051;3010;2085;2940;2108;1017;147
2017;16846;10571;6275;3466;2124;3153;2060;2982;1963;970;128
2018;16899;10705;6194;3423;2036;3192;2053;3146;1979;944;126
2019;17153;10783;6370;3440;2106;3230;2075;3161;2058;952;131
2020;17365;10833;6532;3561;2410;3302;2083;3008;1912;962;127
2021;17354;10813;6541;3740;2307;3059;2198;3020;1891;994;145
Quelle: Wirtschaftskammer Wien,;;;;;;;;;;;
