Versicherte Beschäftigungsverhältnisse in Wien nach Geschlecht seit 2000;;;;;;;;;
Jahr;Insgesamt;Geschlecht;;Versicherte nach Beschäftigungsverhältnissen;;;;;
;;;;unselbstständige (1);;;selbstständige (2);;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen
2000;886313;472287;414026;822900;428819;394081;63413;43468;19945
2001;888015;468429;419586;822232;423416;398816;65783;45013;20770
2002;882826;463100;419726;814483;416425;398058;68343;46675;21668
2003;900420;466075;434345;830373;418303;412070;70047;47772;22275
2004;901336;465229;436107;827580;414597;412983;73756;50632;23124
2005;910124;468690;441434;833039;415800;417239;77085;52890;24195
2006;920722;473645;447077;841422;419187;422235;79300;54458;24842
2007;935202;480862;454340;854133;425664;428469;81069;55198;25871
Beschäftigtenstatistik ab 2008 (3);;;;;;;;;
2008;928375;477084;451291;843235;420877;422358;85140;56207;28933
2009;924952;472499;452453;836891;415615;421276;88061;56884;31177
2010;931642;475678;455964;841398;418284;423114;90244;57394;32850
2011;948871;485069;463802;857508;427430;430078;91363;57639;33724
2012;963207;492893;470314;870055;434749;435306;93152;58144;35008
2013;974243;499463;474780;877385;439236;438149;96858;60227;36631
2014;982663;503379;479284;885317;443319;441998;97346;60060;37286
2015;993005;507683;485322;893603;446858;446745;99402;60825;38577
2016;1007739;515978;491761;906019;454177;451842;101720;61801;39919
2017;1025300;527279;498021;921734;464502;457232;103566;62777;40789
2018;1047033;540344;506689;941142;476278;464864;105891;64066;41825
2019;1064749,4166666667;551872,25;512877,1666666667;956687,4166666666;486435,25;470252,1666666667;108062;65437;42625
2020;1035683,5;537726,0833333334;497957,4166666666;927705;472247;455458;107978,5;65479,083333333336;42499,41666666667
2021;1067450;556363;511087;955571;488707;466864;111879;67656;44223
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Sozialversicherungsanstalt der Bauern, Sozialversicherungsanstalt der Gewerblichen Wirtschaft,;;;;;;;;;
"(1) Inklusive geringfügige Beschäftigungsverhältnisse,
(2) 2013: Zeitreihenbruch aufgrund geänderter sozialversicherungsrechtlicher Bestimmungen bei den Mitgliedern der Architekten- und Ingenieurkonsulentenkammer,
(3) 2008: Zeitreihenbruch aufgrund einer bis Anfang 2008 rückwirkenden Umstellung der Beschäftigtenstatistik durch den Hauptverband der österreichischen Sozialversicherungsträger (siehe Erläuterungen),";;;;;;;;;
