Unselbstständige Beschäftigung in Wien nach Wirtschaftstätigkeiten und Geschlecht 2021;;;;
"Abschnitt
ausgewählte Abteilung (ÖNACE 2008)";Unselbstständige Beschäftigungsverhältnisse;;;
;insgesamt;Anteil in % (1);Geschlecht;
;;;Männer;Frauen
Unselbstständige Beschäftigung insgesamt;869034;100;448871;420163
Land- und Forstwirtschaft_ Fischerei;926;0,10655509450723448;563;363
Bergbau und Gewinnung von Steinen und Erden;156;0,01795096624527924;95;61
Herstellung von Waren;51183;5,889642982898253;36089;15094
Herstellung von Nahrungs- und Futtermitteln;7059;0,8122812225988856;4134;2925
Herstellung von pharmazeutischen Erzeugnissen;5356;0,6163165077545872;3023;2333
Herstellung von Metallerzeugnissen;2987;0,3437149754785198;2303;684
Herstellung von elektrischen Ausrüstungen;5732;0,659582939217568;4216;1516
Reparatur und Installation von Maschinen und Ausrüstungen;5542;0,6377195828931895;4546;996
Rest;24507;2,820027754955502;17867;6640
Energieversorgung;6329;0,7282799061946944;4736;1593
Wasserversorgung_ Abwasser- und Abfallentsorgung;1268;0,1459091358911159;982;286
Bau;52197;6,0063242634925675;46420;5777
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;111259;12,802606112073867;54165;57094
Handel mit Kraftfahrzeugen_ Instandhaltung und Reparatur von Kraftfahrzeugen;9555;1,0994966825233534;7735;1820
Großhandel (ohne Handel mit Kraftfahrzeugen);42515;4,892213653320813;25116;17399
Einzelhandel (ohne Handel mit Kraftfahrzeugen);59189;6,810895776229699;21314;37875
Verkehr und Lagerei;86613;9,966583585912634;29519;57094
Beherbergung und Gastronomie;41453;4,770008998497182;23608;17845
Beherbergung;8706;1,0018020008423145;4397;4309
Gastronomie;32747;3,7682069976548673;19211;13536
Information und Kommunikation;58631;6,746686550813892;38904;19727
Telekommunikation;6935;0,7980125058398176;4629;2306
Erbringung von Dienstleistungen der Informationstechnologie;28049;3,227606744960496;20596;7453
Informationsdienstleistungen;10836;1,2469017322682427;7115;3721
Rest;12811;1,4741655677453356;6564;6247
Erbringung von Fiz- und Versicherungsdienstleistungen;41984;4,831111325908998;21057;20927
Erbringung von Fizdienstleistungen;25573;2,9426926909649107;12687;12886
Versicherungen, Rückversicherungen und Pensionskassen (ohne Sozialversicherung);10757;1,2378111788491588;5358;5399
Rest;5654;0,6506074560949284;3012;2642
Grundstücks- und Wohnungswesen;18941;2,1795464849476547;7950;10991
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;76509;8,80391331064147;35637;40872
Rechts- und Steuerberatung, Wirtschaftsprüfung;17668;2,0330619975743183;4995;12673
Verwaltung und Führung von Unternehmen und Betrieben_ Unternehmensberatung;22467;2,5852843502095433;11380;11087
Architektur- u, Ingenieurbüros_ technische, physikalische u, chemische Untersuchung;16125;1,8555085301610752;9746;6379
Forschung und Entwicklung;8207;0,9443819229167097;4317;3890
Werbung und Marktforschung;8861;1,0196378967911497;3812;5049
Rest;3181;0,3660386129886748;1387;1794
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;77804;8,952929344536576;36932;40872
Vermittlung und Überlassung von Arbeitskräften;20173;2,321313090166783;14044;6129
Gebäudebetreuung_ Garten- und Landschaftsbau;27092;3,1174844712634946;12036;15056
Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen a, n, g, (2);9886;1,1375849506463498;4645;5241
Rest;20653;2,3765468324599497;6207;14446
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;138642;15,953576039602593;55232;83410
Erziehung und Unterricht;47632;5,481028360225261;18596;29036
Gesundheits- und Sozialwesen;67120;7,723518297327837;19382;47738
Kunst, Unterhaltung und Erholung;14173;1,6308913115021966;7632;6541
Erbringung von sonstigen Dienstleistungen;23645;2,72083715942069;9191;14454
"Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen
(ohne Sozialwesen und Sport)";15721;1,80902013039766;6310;9411
Rest;7924;0,9118170290230302;2881;5043
Private Haushalte;860;0,09896045494192401;217;643
Exterritoriale Organisationen und Körperschaften;846;0,09734947079170665;366;480
Wirtschaftsklasse unbekannt;807;0,09286172923038685;424;383
PräsenzdienerInnen;520;0,0598365541509308;517;3
Kinderbetreuungs- und Karenzgeld-BezieherInnen;10240;1,1783198355875606;657;9583
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;
"(1) Anteil der Beschäftigungsverhältnisse in den einzelnen Abschnitten und Abteilungen, 
(2) a, n, g,: anderwertig nicht gent,";;;;
