Arbeitslose Personen (inkl, SchulungsteilnehmerInnen) in Wien nach Wirtschaftstätigkeiten und Geschlecht 2021;;;;;Hilfstabelle;;
Abschnitte (ÖNACE 2008);Insgesamt;"Arbeitslose Personen (inkl, SchulungsteilnehmerInnen)
im Jahresdurchschnitt";;;;;
;;Anteil in % (1);Geschlecht;;;;
;;;Männer;Frauen;insgesamt;Frauen;Männer
Insgesamt;158402;100;87068;71334;0;0;0
Land- und Forstwirtschaft_ Fischerei;351,249999999985;0,22221099944447248;207,66666666665802;143,583333333327;;;
Bergbau und Gewinnung von Steinen und Erden;25,499999999992;0,016413312458966718;16,666666666660998;8,833333333331;;;
Herstellung von Waren;5377,166666666659;3,3950305540124237;3516,7499999999973;1860,416666666662;;;
Energieversorgung;87,583333333319;0,05555274986111812;62,416666666661;25,166666666658;;;
Wasserversorgung_ Abwasser- und Abfallentsorgung;213,49999999998604;0,13446290591384275;183,08333333332604;30,416666666660007;;;
Bau;9503,333333333318;5,9996969850007575;8479,999999999993;1023,3333333333251;;;
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;20733,750000000004;13,088985404777537;9197,833333333332;11535,916666666672;;;
Verkehr und Lagerei;8805,083333333328;5,5584313923539215;7448,916666666667;1356,166666666662;;;
Beherbergung und Gastronomie;17712,583333333336;11,181884753295288;9247,666666666672;8464,916666666662;;;
Information und Kommunikation;3494,333333333322;2,205696681985758;2167,5833333333285;1326,7499999999934;;;
Erbringung von Fiz- und Versicherungsdienstleistungen;1929,416666666654;1,218372809454068;1023,1666666666601;906,2499999999939;;;
Grundstücks- und Wohnungswesen;1713,9166666666522;1,0826473410433817;903,499999999992;810,4166666666601;;;
Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen;5533,166666666658;3,4928791475178023;2667,0833333333294;2866,0833333333285;;;
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;31770,583333333343;20,056436543608907;18177,41666666668;13593,166666666664;;;
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3292,1666666666533;2,0788091510529774;1627,2499999999923;1664,916666666661;;;
Erziehung und Unterricht;8177,249999999997;5,162618049593455;3849,4999999999973;4327,75;;;
Gesundheits- und Sozialwesen;12152,333333333332;7,671329730821676;5449,416666666665;6702,916666666667;;;
Kunst, Unterhaltung und Erholung;2564,8333333333167;1,6192364022019088;1554,4999999999923;1010,3333333333244;;;
Erbringung sonstige Dienstleistungen;3761,999999999989;2,3748800565628;1348,0833333333271;2413,916666666662;;;
Private Haushalte;213,99999999998803;0,13446290591384275;56,33333333332601;157,66666666666202;;;
Exterritoriale Organisationen und Körperschaften;82,99999999998501;0,05239634361900914;32,83333333332601;50,166666666659;;;
Sonstiges;20905,333333333336;13,197565779506085;9850,083333333336;11055,25;;;
Quelle: Arbeitsmarktservice Wien, Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen,;;;;;;;
(1) Anteil der Beschäftigten in den einzelnen Abschnitten,;;;;;;;
