Versicherte Beschäftigungsverhältnisse in Wien nach Geschlecht 2021;;;
Beschäftigungsverhältnisse;Insgesamt;Geschlecht;
;;Männer;Frauen
Versicherte Beschäftigungsverhältnisse insgesamt;1067455;556364;511091
"Unselbstständige Beschäftigungsverhältnisse (inklusive geringfügige 
Beschäftigungsverhältnisse und geringfügig freie Dienstverträge)";955576;488708;466868
Unselbstständige Beschäftigungsverhältnisse;869034;448871;420163
davon freie Dienstverträge;7208;3732;3476
Aktive unselbstständige Beschäftigungsverhältnisse;858274;447697;410577
Inaktive unselbstständige Beschäftigungsverhältnisse;10760;1174;9586
Karenzgeld-/KinderbetreuungsgeldbezieherInnen;10240;657;9583
PräsenzdienerInnen;520;517;3
"Geringfügige Beschäftigungsverhältnisse 
und geringfügig freie Dienstverträge";86542;39837;46705
Geringfügige Beschäftigungsverhältnisse;78292;35540;42752
Geringfügig freie Dienstverträge;8250;4297;3953
Selbstständige Beschäftigungsverhältnisse insgesamt;111879;67656;44223
Erwerbstätige nach Gewerblichem Sozialversicherungsgesetz;102081;62011;40070
Freie Berufe nach Freiberuflich Selbstständigen-Sozialversicherungsgesetz;8386;4742;3644
Erwerbstätige nach Bauern-Sozialversicherungsgesetz;1412;903;509
Quelle: Hauptverband der österreichischen Sozialversicherungsträger, Sozialversicherungsanstalt der Bauern, Sozialversicherungsanstalt der Gewerblichen Wirtschaft,;;;
