Unselbstständige Beschäftigung in Wien nach sozialrechtlicher Stellung und Geschlecht seit 1994;;;;;;;;;;;;
Jahr;Insgesamt;Geschlecht;;Beschäftigungsverhältnisse;;;;;;;;
;;;;Arbeiterinnen und Arbeiter;;;Angestellte;;;Beamtinnen und Beamte;;
;;Männer;Frauen;insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;;;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
1994;788044;423457;364587;263975;162277;101698;404656;185351;219305;119413;75829;43584
1995;781130;419595;361535;258176;159392;98784;404561;185359;219202;118393;74844;43549
1996;770866;413302;357564;250119;154480;95639;401877;183617;218260;118870;75205;43665
1997;764605;409613;354992;245480;152313;93167;401486;183493;217993;117639;73807;43832
1998;766548;408649;357899;240836;150129;90707;408289;185063;223226;117423;73457;43966
1999;772976;411406;361570;237262;148588;88674;418688;189960;228728;117026;72858;44168
2000;770660;407622;363038;233546;145072;88474;424785;193445;231340;112329;69105;43224
2001;767491;401131;366360;226479;138757;87722;432625;196423;236202;108387;65951;42436
2002;757869;393205;364664;220277;135140;85137;432611;194921;237690;104981;63144;41837
2003;759604;389187;370417;216559;132639;83920;442303;196626;245677;100742;59922;40820
2004;753516;383638;369878;211538;130248;81290;445793;196562;249231;96185;56828;39357
2005;756506;383609;372897;210240;130588;79652;453938;199185;254753;92328;53836;38492
2006;763607;386735;376872;211039;132160;78879;463864;203202;260662;88704;51373;37331
2007;774137;392365;381772;212394;134263;78131;476340;208940;267400;85403;49162;36241
Beschäftigtenstatistik ab 2008 *;;;;;;;;;;;;
2008;771158;391714;379444;217889;137972;79917;479278;213410;265868;73991;40332;33659
2009;762891;385112;377779;211272;133070;78202;481000;213628;267372;70619;38414;32205
2010;764310;385953;378357;210946;133352;77594;485477;215651;269826;67887;36950;30937
2011;777174;393490;383684;214871;136809;78062;496990;221105;275885;65313;35576;29737
2012;786384;399182;387202;216427;138269;78158;507300;226693;280607;62657;34220;28437
2013;791327;402208;389119;215937;138592;77345;515200;230647;284553;60190;32969;27221
2014;795978;404263;391715;214903;137966;76937;524525;235092;289433;56550;31205;25345
2015;801919;406313;395606;213171;136908;76263;535942;239930;296012;52806;29475;23331
2016;813468;413107;400361;215954;139609;76345;546327;244866;301461;51187;28632;22555
2017;828940;423204;405736;220507;143895;76612;559533;251970;307563;48900;27339;21561
2018;848531;434824;413707;225464;147891;77573;576348;260808;315540;46719;26125;20594
2019;864116;444993;419123;229715;151867;77848;590175;268340;321835;44226;24786;19440
2020;842938;433039;409899;210394;139897;70497;590918;269764;321154;41626;23378;18248
2021;869034;448871;420163;218678;147190;71488;611960;280095;331865;38396;21586;16810
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;;;;;;;
(1) 2008: Zeitreihenbruch aufgrund einer bis Anfang 2008 rückwirkenden Umstellung der Beschäftigtenstatistik durch den Hauptverband der österreichischen Sozialversicherungsträger (siehe Erläuterungen),;;;;;;;;;;;;
;;;;;;;;;;;;
