Unselbstständige Beschäftigung in Wien nach Altersgruppen und Geschlecht 2021;;;;;;
Altersgruppen;Insgesamt;;Unselbstständige Beschäftigungsverhältnisse;;;
;;;Geschlecht;;;
;;;Männer;;Frauen;
;absolut;%;absolut;%;absolut;%
Insgesamt;869034;100;448871;100;420163;100
bis 19;19616;2,257459466301509;11419;2,544172130398847;8197;1,9511568184576864
20–24;63628;7,322071735152987;32445;7,228612356834622;31183;7,421916836641191
25–29;107703;12,392897828613512;54594;12,162345806905801;53109;12,639202591387589
30–34;115607;13,302532708882318;61624;13,72850430749283;53983;12,847456094211504
35–39;110374;12,700712288413518;58399;13,01003188012538;51975;12,3702580677407
40–44;104020;11,969322117763484;53196;11,851119146120583;50824;12,095601448016357
45–49;102743;11,822376672842134;50317;11,209060995524307;52426;12,477597873196228
50–54;110396;12,703358917413668;53673;11,95760901287458;56723;13,500063071060856
55–59;96674;11,123666616802643;47407;10,560096598339381;49267;11,725743227001079
60+;38273;4,40560164781423;25797;5,7484477653836645;12476;2,971003972286814
Quelle: Hauptverband der österreichischen Sozialversicherungsträger,;;;;;;
