Natürliche Bevölkerungsbewegung für Wien nach Herkunft und Gemeindebezirken 2022;;;;;;;;;
Gemeindebezirk;Lebendgeborene;;;Gestorbene;;;Geburtenbilanz;;
;insgesamt;ausländische Herkunft *;;insgesamt;ausländische Herkunft;;insgesamt;ausländische Herkunft;
;;mit;ohne;;mit;ohne;;mit;ohne
Wien;19142;11095;8047;18041;4446;13595;1101;6649;-5548
1. Innere Stadt;112;47;65;182;49;133;-70;-2;-68
2. Leopoldstadt;995;564;431;986;284;702;9;280;-271
3. Landstraße;877;499;378;846;244;602;31;255;-224
4. Wieden;255;133;122;320;95;225;-65;38;-103
5. Margareten;501;292;209;476;149;327;25;143;-118
6. Mariahilf;251;142;109;254;65;189;-3;77;-80
7. Neubau;257;132;125;228;59;169;29;73;-44
8. Josefstadt;168;73;95;173;54;119;-5;19;-24
9. Alsergrund;343;161;182;367;104;263;-24;57;-81
10. Favoriten;2500;1759;741;1934;515;1419;566;1244;-678
11. Simmering;1241;790;451;935;228;707;306;562;-256
12. Meidling;1032;663;369;1004;268;736;28;395;-367
13. Hietzing;485;230;255;721;122;599;-236;108;-344
14. Penzing;857;429;428;905;205;700;-48;224;-272
15. Rudolfsheim-Fünfhaus;706;464;242;679;206;473;27;258;-231
16. Ottakring;966;585;381;905;260;645;61;325;-264
17. Hernals;512;294;218;486;124;362;26;170;-144
18. Währing;483;212;271;410;96;314;73;116;-43
19. Döbling;604;304;300;1082;194;888;-478;110;-588
20. Brigittenau;874;608;266;785;235;550;89;373;-284
21. Floridsdorf;1948;1086;862;1540;322;1218;408;764;-356
22. Donaustadt;1993;1004;989;1659;356;1303;334;648;-314
23. Liesing;1182;624;558;1164;212;952;18;412;-394
Quelle: Statistik Austria – Statistik der natürlichen Bevölkerungsbewegung und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
* Ausländische Herkunft der Mutter, d.h. bei ausländischer Herkunft hat die Mutter eine fremde Staatsangehörigkeit oder ist im Ausland geboren.;;;;;;;;;
;;;;;;;;;
