Bevölkerung nach ausländischer Herkunft, Geschlecht und Gemeindebezirken 2023;;;;;;;; ;
Gemeindebezirk;Bevölkerungsstand zum Stichtag 1. 1.;;;Ausländische Herkunft;;;;;
;;;;ohne;;;mit;;
;Insgesamt;Geschlecht;;insgesamt;Geschlecht;;insgesamt;Geschlecht;
;;Männer;Frauen;;Männer;Frauen;;Männer;Frauen
Wien;1982097;969125;1012972;1102571;536018;566553;879526;433107;446419
1. Innere Stadt;16620;7951;8669;9639;4889;4750;6981;3062;3919
2. Leopoldstadt;108269;53180;55089;56644;27866;28778;51625;25314;26311
3. Landstraße;96756;46384;50372;52054;25225;26829;44702;21159;23543
4. Wieden;33633;16326;17307;18256;9115;9141;15377;7211;8166
5. Margareten;55018;27428;27590;26359;13036;13323;28659;14392;14267
6. Mariahilf;31423;15148;16275;17710;8692;9018;13713;6456;7257
7. Neubau;31581;15277;16304;18655;9120;9535;12926;6157;6769
8. Josefstadt;24674;12092;12582;14581;7050;7531;10093;5042;5051
9. Alsergrund;42206;20056;22150;23709;11503;12206;18497;8553;9944
10. Favoriten;218415;110463;107952;101553;49855;51698;116862;60608;56254
11. Simmering;109038;53865;55173;58578;28836;29742;50460;25029;25431
12. Meidling;100281;49586;50695;50379;24607;25772;49902;24979;24923
13. Hietzing;55568;25956;29612;37800;17905;19895;17768;8051;9717
14. Penzing;96828;47312;49516;59595;28875;30720;37233;18437;18796
15. Rudolfsheim-Fünfhaus;76109;38663;37446;34140;16910;17230;41969;21753;20216
16. Ottakring;102444;51319;51125;51583;25069;26514;50861;26250;24611
17. Hernals;56033;27490;28543;30717;14736;15981;25316;12754;12562
18. Währing;51559;23935;27624;31975;14823;17152;19584;9112;10472
19. Döbling;75517;35301;40216;45835;21641;24194;29682;13660;16022
20. Brigittenau;85690;42729;42961;39220;19221;19999;46470;23508;22962
21. Floridsdorf;183895;89780;94115;110833;54236;56597;73062;35544;37518
22. Donaustadt;212658;102325;110333;134856;65611;69245;77802;36714;41088
23. Liesing;117882;56559;61323;77900;37197;40703;39982;19362;20620
Quelle: Statistik Austria – Statistik des Bevölkerungsstandes und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
