Wanderungsströme nach Gemeindebezirken 2022;;;;;;;;
Gemeindebezirk;Wanderungsströme;;;;;;;
;Ausland;;übriges Österreich;;andere Gemeindebezirke;;"innerhalb der 
Gemeindebezirke";Wanderungssaldo
;Zuzüge;Wegzüge;Zuzüge;Wegzüge;Zuzüge;Wegzüge;;
Wien;92268;43171;42571;42021;139600;139600;56852;49647
1. Innere Stadt;1865;615;350;353;1129;1381;285;995
2. Leopoldstadt;7159;3581;2415;2028;8319;8682;3483;3602
3. Landstraße;6238;2645;2388;2070;6883;7807;2516;2987
4. Wieden;2520;1114;690;754;3163;3812;461;693
5. Margareten;3343;1459;1744;1307;4931;5981;1077;1271
6. Mariahilf;2234;940;738;718;2863;3687;416;490
7. Neubau;2089;1037;776;694;2505;3401;513;238
8. Josefstadt;2659;1334;847;1188;2235;2697;566;522
9. Alsergrund;5110;1493;1301;2140;3602;5541;737;839
10. Favoriten;9084;4465;5626;4303;13618;13925;10844;5635
11. Simmering;3868;1740;1832;2321;6533;5509;2975;2663
12. Meidling;4352;2141;2231;2133;8383;8338;2693;2354
13. Hietzing;1835;751;1063;1090;3670;2887;1272;1840
14. Penzing;3597;1484;2161;2103;8113;6399;2644;3885
15. Rudolfsheim-Fünfhaus;4305;2477;2183;1697;6697;8546;1555;465
16. Ottakring;4380;2575;2534;2128;7935;9405;2698;741
17. Hernals;2420;1498;1176;1108;4467;5465;983;-8
18. Währing;2585;1230;1064;1148;3575;4211;1098;635
19. Döbling;4193;1699;1216;1406;4672;4840;2063;2136
20. Brigittenau;4964;2569;2208;1815;6385;8025;2466;1148
21. Floridsdorf;4654;2300;2965;3364;11195;7834;5960;5316
22. Donaustadt;6343;2902;3228;3634;12470;6998;6861;8507
23. Liesing;2471;1122;1835;2519;6257;4229;2686;2693
Quelle: Statistik Austria – Wanderungsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik.;;;;;;;;
;;;;;;;;
;;;;;;;;
