Arbeitsstätten und Beschäftigte in der Sachgütererzeugung in Wien nach Geschlecht 2020;;;;
Abteilung (ÖNACE 2008);Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;4023;56924;40292;16632
Nahrungs- und Futtermittel;533;8406;5024;3382
Getränkeherstellung;42;813;468;345
Tabakverarbeitung;;;;
Textilien;94;334;150;184
Bekleidung;279;507;156;351
Leder/-waren und Schuhe;56;174;102;72
Holzwaren_ Korbwaren;130;654;542;112
Papier/Pappe und Waren daraus;33;1536;1072;464
Druckerzeugnisse;240;1537;1070;467
Kokerei und Mineralölverarbeitung;4;709;496;213
Chemische Erzeugnisse;115;1881;1163;718
Pharmazeutische Erzeugnisse;152;5441;3076;2365
Gummi- und Kunststoffwaren;79;1063;760;303
Glas/-waren, Keramik u,Ä,;158;986;691;295
Metallerzeugung und -bearbeitung;28;263;189;74
Metallerzeugnisse;427;3592;2767;825
Datenverarbeitungsgeräte;222;2240;1748;492
Elektrische Ausrüstungen;99;5221;3815;1406
Maschinenbau;126;4592;3715;877
Kraftwagen und -teile;89;2294;2104;190
Sonstiger Fahrzeugbau;23;3365;2790;575
Möbel;198;820;586;234
Sonstige Waren;595;3425;1933;1492
Reparatur/Installation v, Maschinen;301;7071;5875;1196
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;
;;;;
;;;;
