Tierärztinnen und Tierärzte in Wien nach Geschlecht seit 2003;;;;;
Jahr;Insgesamt (1);Tierärztinnen und Tierärzte in Wien zum Stichtag 1,1,;;;
;;Geschlecht;;Art der Mitgliedschaft (2);
;;Männer;Frauen;Freiberufliche;Angestellte
2003;426;;;269;157
2004;433;;;273;160
2005;443;194;248;273;170
2006;459;194;264;275;184
2007;463;194;268;280;183
2008;493;199;293;283;210
2009;495;194;300;297;198
2010;514;200;313;313;201
2011;526;196;329;308;218
2012;530;185;344;290;240
2013;533;179;353;289;244
2014;549;186;362;292;257
2015;602;190;411;291;311
2016;600;189;410;293;307
2017;611;181;429;294;317
2018;634;185;448;300;334
2019;640;186;453;290;349
2020;626;187;438;288;337
2021;630;176;453;285;344
2022;639;169;470;286;353
Quelle: Österreichische Tierärztekammer,;;;;;
"(1) 2005-2021: einschließlich einer Person, deren Geschlecht nicht bekannt ist, 
(2) Mitgliedschaft bei der Österreichischen Tierärztekammer,";;;;;
