Wildabschuss und Fallwild in den Jagdgebieten (1) der Stadt Wien nach Wildarten 2021;;;;
Wildarten;Abschüsse insgesamt;Fallwild (Verluste);;
;;insgesamt;Straßenverkehr;sonstige Verluste
Wild insgesamt;3022;920;245;675
Haarwild;2677;380;223;157
Rotwild;20;1;1;–
Damwild;19;4;–;4
Rehwild;508;171;91;80
Muffelwild;55;2;–;2
Schwarzwild;1621;42;15;27
Hasen;241;81;62;19
Dachse;28;6;2;4
Füchse;118;39;29;10
Marder;46;31;21;10
Sonstiges Haarwild;21;3;2;1
Federwild;345;540;22;518
Quelle: Stadt Wien Wasserrecht,;;;;
(1) Im Stadtgebiet von Wien gibt es 33 Jagdgebiete,;;;;
;;;;
