Unternehmen und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2020;;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Unternehmen;Beschäftigte;;;;Anmerkung Max: Unterbranchen in C an jene der Tabellen B0005 & B0006 angepasst;
;;insgesamt;Geschlecht;;;;jetzt ist es einheitlich (dafür fehlen 2-3 Unterbranchen aus 2019)
;;;Männer;Frauen;;;
Insgesamt;144403;1241453;672195;569258;;;
Land- und Forstwirtschaft;797;2043;1189;854;;;
Bergbau;37;342;250;92;;;
Herstellung von Waren;3441;66955;48696;18259;;;
Nahrungs- und Futtermittel;375;9107;4999;4108;;;
Elektrische Ausrüstungen;74;8401;6497;1904;;;
Reparatur/Installation v, Maschinen;263;9697;8422;1275;;;
Pharmazeutische Erzeugnisse;118;5728;3160;2568;;;
Maschinenbau;104;5387;4413;974;;;
Metallerzeugnisse;385;3154;2433;721;;;
Sonstige Waren;548;3417;1929;1488;;;
Kraftwagen und -teile;86;2273;2083;190;;;
Datenverarbeitungsgeräte;200;2271;1777;494;;;
Chemische Erzeugnisse;92;2220;1550;670;;;
Rest;1196;15300;11433;3867;;;
Energieversorgung;77;6289;4748;1541;;;
Wasserversorgung und Abfallentsorgung;85;1216;970;246;;;
Abfallbehandlung;66;985;773;212;;;
Beseitigung v, Umweltverschmutzungen;3;3;3;–;;;
Rest;16;228;194;34;;;
Bau;6896;65408;58034;7374;;;
Sonst, Bautätigkeiten;5754;41363;36414;4949;;;
Hochbau;1068;20095;17899;2196;;;
Tiefbau;74;3950;3721;229;;;
Handel;17796;140856;66877;73979;;;
Einzelhandel;10161;72646;23714;48932;;;
Großhandel;6106;56524;33660;22864;;;
Kfz-Handel und -reparatur;1529;11686;9503;2183;;;
Verkehr;4668;90258;73562;16696;;;
Landverkehr;4025;43720;38219;5501;;;
Dienstleistungen für den Verkehr;358;25105;21263;3842;;;
Post- und Kurierdienste;228;21025;13809;7216;;;
Luftfahrt;45;275;167;108;;;
Schifffahrt;12;133;104;29;;;
Beherbergung und Gastronomie;7133;62262;34413;27849;;;
Information und Kommunikation;10285;70693;47890;22803;;;
IT-Dienstleistungen;5491;30691;22831;7860;;;
Informationsdienstleistungen;2411;13864;9647;4217;;;
Telekommunikation;104;9422;6394;3028;;;
Rest;2279;16716;9018;7698;;;
Fiz- und Versicherungsleistungen;3539;59497;31666;27831;;;
Grundstücks- und Wohnungswesen;5500;20494;9839;10655;;;
Freiberufliche/techn, Dienstleistungen;31390;115720;58709;57011;;;
Unternehmensführung, -beratung;9618;32982;18446;14536;;;
Rechtsberatung und Wirtschaftsprüfung;5769;26157;9408;16749;;;
Architektur- und Ingenieurbüros;4662;21318;13460;7858;;;
Werbung und Marktforschung;4823;16116;7619;8497;;;
Rest;6518;19147;9776;9371;;;
Sonst, wirtschaftl, Dienstleistungen;7283;101638;57152;44486;;;
Öffentliche Verwaltung;191;174622;84129;90493;;;
Erziehung und Unterricht;4227;77413;31748;45665;;;
Gesundheits- und Sozialwesen;19427;114950;30435;84515;;;
Kunst, Unterhaltung und Erholung;8585;28336;15383;12953;;;
Sonst, Dienstleistungen;13046;42461;16505;25956;;;
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;;;;
;;;;;;;
;;;;;;;
