Warenaußenhandel nach Produkthauptgruppen in Wien seit 2019;;;;;;
Warengruppe;Berichtsjahr (1);;;;;
;2019;;2020;;2021;
;Export;Import;Export;Import;Export;Import
;in Mio, EUR;;;;;
Warenaußenhandel insgesamt;20663,214255;38436,295082;19819,202919;35431,764479;22699,980547;44738,679387
Agrarprodukte;1216,779934;2704,98445;1182,726485;2640,815518;1083,929103;2723,597116
Chemische Erzeugnisse, Kunststoffe;8176,153929;9607,21651;7783,785383;8333,279374;8511,749732;10053,61833
Elektrische Maschinen und Apparate;2246,638427;4619,014459;2122,794957;4453,336818;2344,711126;5228,750648
Fahrzeuge;1850,798245;4625,845081;1669,444826;3508,189604;2361,875823;4558,975108
Gummi/Lederwaren;89,546688;509,09802;88,398838;469,9637;99,862742;553,080705
Holz, Papier, graphische Erzeugnisse;506,675254;891,191547;439,91588;772,257776;526,338052;894,155302
Instrumente, Waffen;741,066663;1651,424017;652,504195;1570,912517;707,366218;1743,273726
Keramische Erzeugung, Glas;1420,682079;1532,384245;2451,081049;3223,529173;3195,451071;5475,318342
Maschinen, mechanische Geräte;2133,820596;4121,267096;1530,087297;3710,712694;1548,56826;3935,755565
Metallwaren;624,580713;1478,261679;512,79993;1296,45548;660,178199;1647,881688
Möbel, Spielwaren, Sonstiges;316,041114;1067,566287;292,849732;1018,762511;303,109748;1126,060847
Rohstoffe/Mineralöle;476,746214;3528,466388;351,443461;2342,67598;567,469333;4651,681937
Textilien/Bekleidungsgegenstände;863,684399;2099,575303;741,370886;2089,398163;789,37114;2146,530073
nicht zuordenbar;–;–;–;1,475171;–;–
Quelle: Statistik Austria – Außenhandelsstatistik und Berechnung Stadt Wien Wirtschaft, Arbeit und Statistik,;;;;;;
(1) 2021: vorläufige Werte,;;;;;;
;;;;;;
