Arbeitsstätten und Beschäftigte in Wien nach Geschlecht und Wirtschaftstätigkeiten 2020;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Arbeitsstätten;Beschäftigte;;
;;insgesamt;Geschlecht;
;;;Männer;Frauen
Insgesamt;160148;1097093;582356;514737
Land- und Forstwirtschaft;873;2157;1229;928
Bergbau;39;203;127;76
Herstellung von Waren;4023;56924;40292;16632
Nahrungs- und Futtermittel;533;8406;5024;3382
Elektrische Ausrüstungen;99;5221;3815;1406
Reparatur/Installation v, Maschinen;301;7071;5875;1196
Pharmazeutische Erzeugnisse;152;5441;3076;2365
Maschinenbau;126;4592;3715;877
Metallerzeugnisse;427;3592;2767;825
Sonstige Waren;595;3425;1933;1492
Kraftwagen und -teile;89;2294;2104;190
Datenverarbeitungsgeräte;222;2240;1748;492
Chemische Erzeugnisse;115;1881;1163;718
Rest;1364;12761;9072;3689
Energieversorgung;105;5188;3743;1445
Wasserversorgung und Abfallentsorgung;134;4892;4299;593
Abfallbehandlung;102;4187;3722;465
Beseitigung v, Umweltverschmutzungen;4;22;19;3
Rest;28;683;558;125
Bau;7400;64876;57629;7247
Sonst, Bautätigkeiten;6150;38806;34221;4585
Hochbau;1155;21962;19544;2418
Tiefbau;95;4108;3864;244
Handel;22544;142445;70780;71665
Einzelhandel;13676;77312;29434;47878
Großhandel;7109;52776;31223;21553
Kfz-Handel und -reparatur;1759;12357;10123;2234
Verkehr;5302;48966;40166;8800
Landverkehr;4309;31405;27127;4278
Dienstleistungen für den Verkehr;556;11155;8468;2687
Post- und Kurierdienste;379;6067;4342;1725
Luftfahrt;46;215;130;85
Schifffahrt;12;124;99;25
Beherbergung und Gastronomie;8470;59860;33644;26216
Information und Kommunikation;10861;67614;46093;21521
IT-Dienstleistungen;5803;31607;23597;8010
Informationsdienstleistungen;2509;13840;9609;4231
Telekommunikation;151;6960;4637;2323
Rest;2398;15207;8250;6957
Fiz- und Versicherungsleistungen;4236;45788;23552;22236
Grundstücks- und Wohnungswesen;5684;19578;9153;10425
Freiberufliche/techn, Dienstleistungen;32734;112859;57254;55605
Unternehmensführung, -beratung;9943;32116;18033;14083
Rechtsberatung und Wirtschaftsprüfung;6085;25317;9173;16144
Architektur- und Ingenieurbüros;4994;20703;13107;7596
Werbung und Marktforschung;4982;15936;7491;8445
Rest;6730;18787;9450;9337
Sonst, wirtschaftl, Dienstleistungen;7868;96690;53587;43103
Öffentliche Verwaltung;591;92844;45015;47829
Erziehung und Unterricht;5416;92763;34782;57981
Gesundheits- und Sozialwesen;21172;117756;31659;86097
Kunst, Unterhaltung und Erholung;8960;27523;14852;12671
Sonst, Dienstleistungen;13736;38167;14500;23667
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;
;;;;
;;;;
