Unselbstständig Beschäftigte in Arbeitsstätten in Wien nach Geschlecht und Wirtschaftstätigkeiten 2020;;;;;;
"Abschnitt und ausgewählte Abteilung
(ÖNACE 2008)";Insgesamt;Unselbstständig Beschäftigte;;;;
;;Geschlecht;;darunter fremde Staatsangehörigkeit;;
;;Männer;Frauen;Insgesamt;Männer;Frauen
Insgesamt;987394;516487;470907;261877;145016;116861
Land- und Forstwirtschaft;1361;728;633;892;522;370
Bergbau;150;92;58;29;9;20
Herstellung von Waren;54602;38566;16036;12258;8374;3884
Nahrungs- und Futtermittel;8175;4857;3318;3452;2180;1272
Elektrische Ausrüstungen;5195;3793;1402;704;447;257
Reparatur/Installation v, Maschinen;6905;5720;1185;856;685;171
Pharmazeutische Erzeugnisse;5352;3002;2350;956;517;439
Maschinenbau;4563;3689;874;834;643;191
Metallerzeugnisse;3368;2561;807;958;786;172
Sonstige Waren;2991;1645;1346;658;330;328
Kraftwagen und -teile;2218;2031;187;333;296;37
Datenverarbeitungsgeräte;2107;1622;485;338;245;93
Chemische Erzeugnisse;1833;1139;694;553;362;191
Rest;11895;8507;3388;2616;1883;733
Energieversorgung;5160;3723;1437;355;230;125
Wasserversorgung und Abfallentsorgung;4854;4264;590;584;511;73
Abfallbehandlung;4158;3696;462;501;444;57
Beseitigung v, Umweltverschmutzungen;20;17;3;4;3;1
Rest;676;551;125;79;64;15
Bau;60829;53922;6907;28428;26596;1832
Sonst, Bautätigkeiten;35061;30778;4283;17557;16311;1246
Hochbau;21675;19295;2380;9481;8930;551
Tiefbau;4093;3849;244;1390;1355;35
Handel;131143;63041;68102;38179;18344;19835
Einzelhandel;69776;24657;45119;23368;8971;14397
Großhandel;50004;29156;20848;12064;7033;5031
Kfz-Handel und -reparatur;11363;9228;2135;2747;2340;407
Verkehr;45408;36979;8429;13738;12001;1737
Landverkehr;28205;24247;3958;10069;9155;914
Dienstleistungen für den Verkehr;11009;8347;2662;2081;1587;494
Post- und Kurierdienste;5872;4168;1704;1464;1169;295
Luftfahrt;202;121;81;74;45;29
Schifffahrt;120;96;24;50;45;5
Beherbergung und Gastronomie;55626;30847;24779;30903;17317;13586
Information und Kommunikation;60111;39518;20593;12674;8315;4359
IT-Dienstleistungen;27829;20167;7662;6899;4655;2244
Informationsdienstleistungen;11838;7893;3945;3045;2123;922
Telekommunikation;6915;4602;2313;896;626;270
Rest;13529;6856;6673;1834;911;923
Fiz- und Versicherungsleistungen;43542;21797;21745;6922;3556;3366
Grundstücks- und Wohnungswesen;16464;7091;9373;3190;1584;1606
Freiberufliche/techn, Dienstleistungen;87426;40171;47255;19538;9202;10336
Unternehmensführung, -beratung;24577;12624;11953;5849;2996;2853
Rechtsberatung und Wirtschaftsprüfung;20572;5901;14671;3180;778;2402
Architektur- und Ingenieurbüros;17156;10215;6941;4260;2379;1881
Werbung und Marktforschung;12009;5007;7002;2290;1063;1227
Rest;13112;6424;6688;3959;1986;1973
Sonst, wirtschaftl, Dienstleistungen;91278;50255;41023;39999;20826;19173
Öffentliche Verwaltung;92825;45006;47819;3528;1077;2451
Erziehung und Unterricht;89803;33276;56527;18188;6881;11307
Gesundheits- und Sozialwesen;99605;26686;72919;20948;4735;16213
Kunst, Unterhaltung und Erholung;19818;10234;9584;4577;2193;2384
Sonst, Dienstleistungen;27389;10291;17098;6947;2743;4204
Quelle: Statistik Austria – Arbeitsstättenzählung 2020,;;;;;;
;;;;;;
;;;;;;
