Windverhältnisse in Wien nach Monaten 2018;;;;;;
Monat;Windgeschwindigkeit;;;;Tage mit ...;
;mittlere;Abweichung vom NW *;höchste **;;Sturm ***;starkem Sturm ****
;km/h;;km/h;Tag;;
2018;12,65;-0,283333333333333;102;23. 10.;33;7
Jänner;14,4;0,700000000000001;85;28.01.1900;8;2
Februar;14,4;0,4;53;6.;–;–
März;13;-1;61;11.01.1900;1;–
April;14;0,699999999999999;68;1.;2;–
Mai;11,9;-1,1;55;2.;–;–
Juni;13,7;0,699999999999999;61;27.;1;–
Juli;12,2;-0,4;66;17.01.1900;2;–
August;10,4;-1,1;72;2.;2;–
September;10,4;-1,5;89;23.01.1900;2;1
Oktober;10,4;-1,1;102;22.01.1900;5;3
November;11,5;-1,5;64;29.01.1900;1;–
Dezember;15,5;1,8;90;9.;9;1
Quelle: ZAMG – Klimaabteilung.;;;;;;
* NW = Normalwert; Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.
** Gemessen an einem einzigen Tag des Monats.
*** Die größte gemessene Windstärke liegt bei mindestens 60 km/h.
****  Die größte gemessene Windstärke liegt bei mindestens 80 km/h.;;;;;;
