Niederschläge in Wien nach Monaten 2018;;;;;;
Monat;Niederschläge;;;;;Tage mit Gewitter
;insgesamt;NW *;Abweichung vom NW in %;Tagesmaximum;;
;mm;;;mm;Tag;
2018;716;650,8;10,0184388444991;49;10. 7.;29
Jänner;46;37,9;21,3720316622691;8;09.01.1900;–
Februar;26;40,1;-35,1620947630923;8;06.01.1900;–
März;50;51,4;-2,72373540856032;22;30.01.1900;–
April;8;44,7;-82,1029082774049;3;22.01.1900;1
Mai;73;69;5,79710144927536;20;07.01.1900;8
Juni;47;70;-32,8571428571429;27;26.01.1900;5
Juli;128;70,3;82,076813655761;49;09.01.1900;6
August;48;72;-33,3333333333333;12;23.01.1900;3
September;99;60,8;62,8289473684211;40;31.12.1899;6
Oktober;29;37,8;-23,2804232804233;22;23.01.1900;–
November;50;48,6;2,88065843621399;18;25.01.1900;–
Dezember;112;48,2;132,365145228216;34;22.01.1900;–
Quelle: ZAMG – Klimaabteilung.;;;;;;
* NW = Normalwert; langjähriger Mittelwert der Jahre 1981–2010. Rundungsdifferenzen nicht ausgeglichen.;;;;;;
