Sonnenscheindauer, Bewölkung und Luftdruck in Wien nach Monaten 2018;;;;;;;
Monat;Sonnenscheindauer;;Bewölkungsmittel;Luftdruck;;;
;h;Anteil an der örtlich möglichen Dauer in %;;mittlerer;Abweichung vom NW *;höchster;tiefster
;;;;hPa;;;
2018;2188;51;6,56666666666667;992,241666666667;0,174999999999964;1014,5;968,7
Jänner;51;20;8,2;992,4;-2,5;1009,5;972,2
Februar;59;22;8,3;992,9;-0,399999999999977;1003,4;978,8
März;109;30;7,8;982,8;-8,70000000000005;1000,8;968,7
April;285;73;5,6;990,3;1,19999999999993;1007,7;974,8
Mai;292;65;6,1;991,3;1,09999999999991;997,9;983,3
Juni;223;49;7;990,9;0,100000000000023;999,5;981,6
Juli;304;66;5,3;990,3;-0,900000000000091;994,8;986
August;307;72;4,9;992,6;1,39999999999998;999,1;984,1
September;240;66;4,7;996,7;4,20000000000005;1014,5;984,1
Oktober;198;61;5;994,6;0,899999999999977;1004,2;977,3
November;67;25;7,6;996,3;3,59999999999991;1008,2;978,7
Dezember;53;21;8,3;995,8;2,09999999999991;1006,5;977,1
Quelle: ZAMG – Klimaabteilung.;;;;;;;
* NW = Normalwert; Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.;;;;;;;
