Lufttemperatur und Luftfeuchtigkeit in Wien nach Monaten 2018;;;;;;;
Monat;Mittlere Temperatur;Abweichung vom NW *;Höchste Temperatur;;Tiefste Temperatur;;Mittlere relative Feuchtigkeit
;°C;;°C;Tag;°C;Tag;%
2018;12,4083333333333;1,95833333333333;35,2;9. 8.;-12,4;1. 3.;69,0833333333333
Jänner;4,2;3,9;14,4;29.;-2,3;15.;82
Februar;-0,7;-2,2;6,2;1.;-12,1;26.;76
März;3,5;-2,2;15,9;11.;-12,4;1.;72
April;15,8;5,1;29,2;29.;2,2;7.;59
Mai;18,7;3;29,6;31.;10,2;16.;59
Juni;21,3;2,6;33,5;21.;11,6;25.;60
Juli;22,7;1,9;33,4;31.;9,4;2.;57
August;23,4;3,2;35,2;9.;10,4;27.;58
September;17,4;2;30,4;12.;3,1;26.;69
Oktober;13;2,8;23,3;6.;4,6;31.;72
November;6,6;1,5;18,1;1.;-5,2;29.;85
Dezember;3;1,9;12,6;4.;-3,1;1.;80
Quelle: ZAMG – Klimaabteilung.;;;;;;;
* NW = Normalwert; Abweichung vom langjährigen Mittelwert der Jahre 1981–2010.;;;;;;;
