Soziale Dienste in Wien – Menschen mit Behinderung seit 2006 (BezieherInnen);;;;;;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;;;;;;
;2006;2007;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0;2023,0
Maßnahmen zur Tagesstruktur sowie Arbeitsangebote;;;;;;;;;;;;;;;;;;
Tagesstruktur inkl. Essen und Taschengeld;3950;4110;4200,0;4290,0;4390,0;4410,0;4430,0;4470,0;4600,0;4730,0;4840,0;4870,0;4940,0;4940,0;4830,0;4850,0;4890,0;4860,0
Berufsintegration (ohne Projekte), Lehrlingsausbildung und Lohnkostenzuschüsse;410;390;530,0;570,0;650,0;710,0;790,0;800,0;880,0;930,0;910,0;830,0;890,0;910,0;850,0;870,0;960,0;1010,0
Integration – Bildung, Beratung, Assistenz;1250;1430;3210,0;4700,0;4830,0;5030,0;5210,0;6010,0;6570,0;6770,0;6530,0;6380,0;6880,0;6940,0;6790,0;7220,0;7290,0;4580,0
Fahrt zur Einrichtung (1);;;;;;;;;;;;;;;;;;
Regelfahrtendienst und Fahrtkostenersatz sowie Mobilitätskonzept (2);–;–;3730,0;3870,0;4030,0;3990,0;3990,0;4040,0;4130,0;4060,0;4290,0;4870,0;4530,0;4610,0;4520,0;4550,0;4610,0;4580,0
davon Fahrtbegleitung;–;–;53,0;44,0;58,0;63,0;68,0;71,0;61,0;73,0;71,0;24,0;2,0;2,0;4,0;4,0;4,0;4,0
Spezielle Mobilitätshilfen und Beförderungsdienste;;;;;;;;;;;;;;;;;;
Freizeitfahrtendienst;9770;8120;7580,0;6650,0;5780,0;5180,0;4480,0;3970,0;3620,0;3350,0;3100,0;2811,0;2690,0;2470,0;1960,0;1680,0;1700,0;1660,0
Ermäßigte Jahreskarten für Personen mit Sehbehinderung oder Gehörlosigkeit;–;–;3270,0;3150,0;3130,0;3140,0;3050,0;2690,0;3100,0;3200,0;3170,0;3140,0;3130,0;2870,0;3040,0;2910,0;2840,0;2820,0
Wohnen für Menschen mit Behinderung;;;;;;;;;;;;;;;;;;
Vollbetreutes Wohnen;1790;1810;1840,0;1860,0;1890,0;1890,0;1890,0;1950,0;1940,0;1960,0;1990,0;1970,0;1960,0;1970,0;1920,0;1920,0;1900,0;1860,0
Teilbetreutes Wohnen;980;1110;1220,0;1270,0;1360,0;1440,0;1570,0;1650,0;1750,0;1940,0;2150,0;2260,0;2360,0;2500,0;2690,0;2850,0;3180,0;3580,0
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;;;;;;
"(1) Diese Leistung dienst ausschließlich den KundInnen der Tagesstruktur. Fahrten zu Kindergärten sowie Schulen sind nicht enthalten.
(2) Die Anzahl der BezieherInnen bis 2014 ist der Monatsdurchschnitt des jeweiligen Jahres, ab 2015 wird die Summe der unterschiedlichen KundInnen für das ganze Jahr angegeben.";;;;;;;;;;;;;;;;;;
