Ausgewählte nationale Preisindizes seit 1991 – Jahresübersicht;;;;;;
Jahr;"Lebenshaltungskostenindex für eine
vierköpfige ArbeiterInnenfamilie (1)";;;VPI 2010;VPI 2015;VPI 2020
;April 1938 = 100;April 1945 = 100;1958 = 100;Ø 2010 = 100;Ø 2015 = 100;Ø 2020 = 100
1991;2934,8;3455,3;394,5;–;–;–
1992;3052,8;3594,3;410,3;–;–;–
1993;3163,5;3724,6;425,2;–;–;–
1994;3257,1;3834,8;437,8;–;–;–
1995;3330,2;3920,8;447,6;–;–;–
1996;3392;3993,6;455,9;–;–;–
1997;3436,4;4045,8;461,9;–;–;–
1998;3468;4083,1;466,1;–;–;–
1999;3487,6;4106,1;468,8;–;–;–
2000;3569,5;4202,6;479,8;–;–;–
2001;3664,4;4314,3;492,6;–;–;–
2002;3730,4;4392,1;501,4;–;–;–
2003;3781;4451,6;508,2;–;–;–
2004;3858,9;4543,4;518,7;–;–;–
2005;3947,9;4648,1;530,7;–;–;–
2006;4005,2;4715,5;538,4;–;–;–
2007;4092;4817,8;550,1;–;–;–
2008;4223,6;4972,7;567,8;–;–;–
2009;4245;4997,9;570,6;–;–;–
2010;4322;5088,5;581;100;–;–
2011;4462,8;5254,3;599,9;103,3;–;–
2012;4573,8;5384,9;614,9;105,8;–;–
2013;4665,2;5492,6;627,2;107,9;–;–
2014;4740,2;5580,8;637,2;109,7;–;–
2015;4783;5631,3;643;110,7;100;–
2016;4826;5682;648,8;111,7;100,9;–
2017;4926,5;5800,2;662,3;114;103;–
2018;5024,9;5916,1;675,5;116,3;105,1;–
2019;5101,9;6006,7;685,9;118,1;106,7;–
2020;5175,6;6093,5;695,8;119,8;108,2;100
2021;5318,8;6262,1;715,1;123,1;111,2;102,8
2022;5773,4;6797,3;776,2;133,6;120,7;111,6
2023;6224,5;7328,5;836,8;144,1;130,1;120,3
Quelle: Statistik Austria – Verbraucherpreisindex.;;;;;;
"VPI = Verbraucherpreisindex (Bundes-Index).
(1) 1958: Lebenshaltungskostenindex vierköpfiger ArbeitnehmerInnenhaushalte.";;;;;;
