Frauen und Kinder in Frauenhäusern in Wien seit 2005;;;;;;;;;;;;;;;;;;;
Betreuung / BewohnerInnen / Aufenthaltsdauer;Berichtsjahr;;;;;;;;;;;;;;;;;;
;2005;2006,0;2007,0;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0;2023,0
Frauenhäuser;4;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;4,0;5,0;5,0
Plätze;164;164,0;164,0;166,0;166,0;166,0;166,0;175,0;175,0;175,0;175,0;175,0;175,0;175,0;175,0;175,0;164,0;228,0;228,0
Betreute Personen;1106;1107,0;1161,0;1071,0;1154,0;1215,0;1281,0;1353,0;1182,0;1374,0;1363,0;1260,0;1264,0;1256,0;1252,0;1179,0;1289,0;1264,0;1401,0
Frauen;578;565,0;619,0;557,0;583,0;632,0;651,0;690,0;592,0;681,0;672,0;625,0;624,0;647,0;641,0;604,0;649,0;624,0;771,0
Kinder;528;542,0;542,0;514,0;571,0;583,0;630,0;663,0;590,0;693,0;691,0;635,0;640,0;609,0;611,0;575,0;640,0;640,0;630,0
Aufenthaltsdauer der Frauen in den Frauenhäusern (1);;;;;;;;;;;;;;;;;;;
Bis zu einer Woche;164;147,0;199,0;137,0;159,0;193,0;178,0;209,0;170,0;189,0;179,0;161,0;154,0;164,0;162,0;163,0;188,0;156,0;225,0
Bis zu einem Monat;108;117,0;121,0;98,0;96,0;109,0;121,0;147,0;102,0;131,0;123,0;132,0;105,0;118,0;134,0;105,0;130,0;125,0;143,0
Bis zu sechs Monaten;172;174,0;190,0;184,0;196,0;207,0;222,0;223,0;182,0;227,0;242,0;203,0;234,0;227,0;211,0;215,0;217,0;221,0;242,0
Länger als sechs Monate;55;40,0;47,0;56,0;48,0;42,0;41,0;34,0;59,0;43,0;38,0;35,0;49,0;44,0;51,0;49,0;38,0;41,0;50,0
Ø Aufenthaltsdauer der Frauen (in Tagen);52;55,0;50,0;56,0;54,0;50,0;48,0;47,0;55,0;51,0;51,0;52,0;55,0;51,0;53,0;49,0;46,0;52,54;52,81
Übergangswohnbereich nach dem Frauenhausaufenthalt;;;;;;;;;;;;;;;;;;;
Anzahl der Wohnplätze;;;;40,0;44,0;52,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0;54,0
Anzahl der betreuten Frauen;;;;71,0;87,0;98,0;112,0;104,0;103,0;102,0;106,0;99,0;107,0;96,0;109,0;105,0;108,0;99,0;104,0
Anzahl der betreuten Kinder;;;;77,0;83,0;109,0;132,0;115,0;100,0;96,0;117,0;113,0;117,0;99,0;95,0;94,0;131,0;115,0;104,0
Aufenthaltstage Frauen und Kinder gesamt;;;;26464,0;29507,0;38712,0;43819,0;40640,0;38779,0;38703,0;40937,0;42824,0;41523,0;39701,0;36623,0;38553,0;39529,0;41502,0;39208,0
Beratungsstelle Verein Wiener Frauenhäuser;;;;;;;;;;;;;;;;;;;
Gesamtkontakte;;;;;;;;;;;14155,0;16047,0;16725,0;16628,0;17995,0;15810,0;20103,0;20094,0;19208,0
Persönliche Kontakte;;;;;;;;;;;1460,0;1575,0;1717,0;1541,0;1715,0;1141,0;1293,0;1406,0;1270,0
Telefonische Kontakte;;;;;;;;;;;7969,0;8565,0;9237,0;8842,0;8920,0;8769,0;10264,0;10122,0;9853,0
Mail Kontakte;;;;;;;;;;;4726,0;5907,0;5771,0;6245,0;7360,0;5900,0;8374,0;8360,0;7945,0
Beratungen per Zoom;;;;;;;;;;;;;;;;;172,0;206,0;140,0
Quelle: Verein Wiener Frauenhäuser.;;;;;;;;;;;;;;;;;;;
(1) Nicht berücksichtigt sind jene Frauen, die zum Jahreswechsel noch in Frauenhäusern wohnhaft sind.;;;;;;;;;;;;;;;;;;;
