Beitragspflichtige Bruttomonatseinkommen am Arbeitsort Wien nach Wirtschaftstätigkeiten und Geschlecht 2023;;;;;;
"Abschnitt 
(ÖNACE 2008)";Bruttomonatseinkommen;;;;;
;Männer;;;Frauen;;
;25 %;50 %;75 %;25 %;50 %;75 %
;... der ArbeitnehmerInnen verdienen weniger als ... EUR;;;;;
WirtschaftskIassen insgesamt;2515;3612;5356;2047;2989;4317
Land- und Forstwirtschaft_ Fischerei;1673;1990;2825;1464;1951;2211
Bergbau und Gewinnung von Steinen und Erden;3929;6820;6825;2456;5032;6542
Herstellung von Waren;3271;4553;6335;2324;3452;5102
Energieversorgung;4551;5996;6825;3427;4635;6057
Wasserversorgung_ Abwasser- und Abfallentsorgung;2761;3486;4602;2499;3490;4930
Bau;2840;3477;4361;1840;2918;4177
Handel_ Instandhaltung und Reparatur von Kraftfahrzeugen;2362;3253;5080;1842;2501;3715
Verkehr und Lagerei;2188;3466;4425;2250;3345;4361
Beherbergung und Gastronomie;1594;2145;2657;1286;1908;2316
Information und Kommunikation;3818;5415;6775;2767;4044;5539
Erbringung von Finanz- und Versicherungsdienstleistungen;4039;6087;6825;3147;4605;6129
Grundstücks- und Wohnungswesen;2046;3372;5176;1719;2858;4170
"Erbringung von freiberuflichen, wissenschaftlichen
und technischen Dienstleistungen";2672;4362;6426;2137;3316;4681
Erbringung von sonstigen wirtschaftlichen Dienstleistungen;2247;2826;3631;1637;2194;2912
Öffentliche Verwaltung, Verteidigung, Sozialversicherung;3164;4242;5680;2836;3707;4867
Erziehung und Unterricht;1786;3189;4863;1919;2854;3721
Gesundheits- und Sozialwesen;1949;2928;3992;1961;2788;3717
Kunst, Unterhaltung und Erholung;1989;3203;4832;1569;2603;3891
Erbringung von sonstigen Dienstleistungen;1950;3193;4974;1665;2474;3828
Private Haushalte;957;1745;2671;1125;1688;2525
Exterritoriale Organisationen und Körperschaften;3379;4427;5850;3060;4114;5333
Wirtschaftsklasse nicht bekannt;2325;3638;5619;1910;3033;4649
Quelle: Dachverband der Sozialversicherungsträger.;;;;;;
