Soziale Dienste in Wien – Jahresaufwand seit 2006;;;;;;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;;;;;;
;2006;2007;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019;2020;2021;2022;2023
;1.000 EUR;;;;;;;;;;;;;;;;;
Jahresaufwand (1);160966;178587,7;196056,8;214871,7;225764,0;228608,0;232920,0;238932,0;247345,0;250786,0;257546,98800000004;250644,0;244030,0;243944;246150;252149;263132;288070
Heimhilfe;102000;107400;115100,0;124700,0;128133,0;129880,0;130974,0;132376,0;134549,0;135007,0;135857,7;130750,0;130867,0;134086;135487;138766;143636;155171
Hauskrankenpflege;35100;43400;50300,0;55600,0;57330,0;59525,0;62880,0;67407,0;71520,0;75284,0;78326,885;77360,0;76194,0;75330;81398;80250;86250;95850
Medizinische Hauskrankenpflege (2);4611;5713;6456,0;5970,0;6441,0;6450,0;6588,0;6943,0;7301,0;7026,0;7055,297;7750,0;2666,0;–;–;–;–;–
24-Stunden-Betreuung zu Hause (3);–;–;280,0;2100,0;2500,0;2900,0;4025,0;4523,0;4943,0;5519,0;5936,529;6350,0;6145,0;5783;5520;5285;5041;5842
Besuchsdienst;3576;4601;5276,0;6011,0;6834,0;7344,0;7644,0;8377,0;9266,0;10151,0;10578,179;9520,0;8779,0;8622;8554;8587;8609;9269
Essen auf Rädern;5205;5284;5365,0;5587,0;5244,0;3850,0;2930,0;2181,0;1670,0;1388,0;1018,553;810,0;653,0;549;465;380;309;273
Wäscheservice-Zustelldienst;133;147,7;137,8;137,7;130,0;127,0;121,0;111,0;92,0;78,0;65,945;54,0;49,0;41;36;33;26;26
Tageszentren;9097;10816;11990,0;13636,0;17977,0;17489,0;17415,0;17014,0;18004,0;16333,0;18707,9;18050,0;18677,0;19533;14690;18848;19261;21639
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;;;;;;
"(1) Bis 2012 inklusive der sozialen Ergänzungsleistung „Reinigungsdienst"", die mit 1. Juli 2012 eingestellt wurde.
(2) Seit dem 2. Quartal 2018 wird die Leistung zur Gänze von der Sozialversicherung und nicht mehr aus dem FSW-Budget finanziert.
(3) Dargestellt ist der 40%-Kostenanteil des Landes Wien für die Bund-Länder-geförderte 24-Stunden-Betreuung.";;;;;;;;;;;;;;;;;;
