Leistungen der Kinder- und Jugendhilfe in Wien seit  2006;;;;;;;;;;;;;;;;;;
Leistungsart;Berichtsjahr;;;;;;;;;;;;;;;;;
;2006;2007,0;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021;2022,0;2023
Sozialer Dienst;;;;;;;;;;;;;;;;;;
Informationen im sozialen Dienst (2);119147;111516,0;118423,0;107382,0;107752,0;25308,0;21679,0;20723,0;20950,0;20321,0;20409,0;21742,0;22408,0;19666,0;18595,0;22787;21732,0;21781
Beratungen im sozialen Dienst;49922;47778,0;43097,0;38949,0;53564,0;47087,0;44462,0;50290,0;50105,0;48052,0;48117,0;48032,0;44646,0;41541,0;31824,0;32235;33937,0;32747
"Ausgegebene Säuglings- und
Kleinkinderwäschepakete";16441;16169,0;16306,0;15613,0;15342,0;15226,0;14758,0;14937,0;13025,0;10910,0;11935,0;12154,0;11658,0;11332,0;7549,0;8627;8352,0;8542
BezieherInnen des Wiener Familienzuschusses;3095;2924,0;2769,0;2478,0;1889,0;861,0;520,0;276,0;218,0;157,0;134,0;100,0;53,0;43,0;37,0;24;8,0;–
Anträge auf Befreiung vom Essensbeitrag;;;;5575,0;11498,0;11833,0;11102,0;10231,0;10796,0;11278,0;14241,0;14131,0;11973,0;9574,0;7763,0;6094;7482,0;5236
Gefährdungsabklärung;;;;;;;;;;;;;;;;;;
Begonnene Abklärungsverfahren;10045;10393,0;11312,0;10451,0;9964,0;10518,0;10519,0;10883,0;10514,0;10469,0;10649,0;11216,0;10497,0;10714,0;9793,0;11015;11995,0;12550
Unterstützung der Erziehung;;;;;;;;;;;;;;;;;;
Begonnene Unterstützungen der Erziehung;2694;3026,0;3109,0;2877,0;2854,0;3000,0;3069,0;3096,0;2910,0;2790,0;2900,0;3063,0;3109,0;3050,0;2793,0;3312;3069,0;3274
Rechtsvertretung;;;;;;;;;;;;;;;;;;
Begonnene Fälle in der Rechtsvertretung;1126;946,0;1084,0;1038,0;981,0;1082,0;966,0;1028,0;1055,0;3435,0;1582,0;1135,0;945,0;966,0;887,0;1123;1173,0;1261
Begonnene Fälle im Asyl- und Fremdenrecht;96;79,0;79,0;80,0;73,0;89,0;88,0;128,0;195,0;280,0;969,0;151,0;26,0;51,0;84,0;204;277,0;230
Begonnene Fälle in der Unterhaltssicherung;5442;5777,0;6302,0;6485,0;7042,0;6606,0;6648,0;7328,0;7511,0;7078,0;6741,0;6490,0;8674,0;7799,0;7212,0;9534;9141,0;10597
Begonnene Fälle in der Vaterschaftsfeststellung;290;267,0;648,0;638,0;467,0;459,0;394,0;364,0;368,0;376,0;319,0;299,0;328,0;241,0;146,0;209;131,0;136
Unterbringung in eigenen Einrichtungen (1);;;;;;;;;;;;;;;;;;
Krisenzentren;88;99,0;114,0;124,0;125,0;116,0;112,0;109,0;109,0;117,0;137,0;134,0;134,0;140,0;138,0;140;144,0;159
Sozialpädagogische Einrichtungen;712;714,0;711,0;743,0;749,0;743,0;728,0;708,0;688,0;695,0;687,0;685,0;688,0;690,0;684,0;673;675,0;669
"Unterbringung in ""zugekauften"" Einrichtungen (1)";;;;;;;;;;;;;;;;;;
Vertragseinrichtungen;342;363,0;382,0;402,0;434,0;471,0;505,0;559,0;534,0;592,0;662,0;672,0;668,0;651,0;645,0;685;699,0;715
Einzelverträge;183;198,0;193,0;221,0;289,0;369,0;405,0;469,0;404,0;378,0;436,0;479,0;489,0;503,0;528,0;565;587,0;595
Erstattungen;27;27,0;24,0;20,0;19,0;24,0;31,0;31,0;25,0;30,0;26,0;23,0;22,0;17,0;14,0;14;6,0;1
Unterbringung in Familien (1);;;;;;;;;;;;;;;;;;
Bei Pflegeeltern;1335;1367,0;1415,0;1487,0;1549,0;1616,0;1672,0;1754,0;1901,0;2008,0;1990,0;2032,0;2083,0;2103,0;2118,0;2136;2100,0;2030
davon in Verwandtenpflege;189;206,0;204,0;222,0;232,0;255,0;263,0;273,0;342,0;405,0;438,0;475,0;478,0;485,0;475,0;463;435,0;410
Quelle: Stadt Wien Wiener Kinder- und Jugendhilfe.;;;;;;;;;;;;;;;;;;
"(1) Minderjährige im Tagesdurchschnitt.
(2) ab 2011: Organisationsänderung und Umstrukturierung der Zählweise";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
