Häuser für Wohnungslose in Wien – Kundinnen und Kunden seit 2006;;;;;;;
Jahr;Insgesamt (1);Kundinnen und Kunden – davon in der Kategorie…;;;;;"Betten in Nacht-
quartieren und
Nachtnotaufnahmen
sowie Notbetten (3)"
;;"Allgemeines
Übergangswohnen";"Zielgruppen-
wohnen";"""Mutter-Kind""-
Einrichtungen";"Betreutes Wohnen
in Wohnungen";"Dauerwohnen
(sozial betreute Wohnhäuser) (2)";
2006;–;2010;730;–;1300;520;1690
2007;–;2070;590;300;1320;790;1720
2008;5340;2240;680;390;1290;910;1890
2009;5460;2270;660;430;1510;900;2930
2010;8180;2390;750;410;1870;1170;2780
2011;8280;2340;750;510;2030;1230;2860
2012;9030;2410;840;490;2030;1640;3260
2013;9770;2560;820;580;2030;1950;3700
2014;9750;2600;830;540;2050;2110;3800
2015;10020;2570;800;470;2180;2320;3620
2016;10320;2220;780;460;2610;2360;3690
2017;11100;1980;770;460;2810;2630;4240
2018;11730;1610;950;480;3560;1290;4260
2019;12590;1430;1000;600;3890;1290;4860
2020;12550;1210;940;550;3390;1370;5060
2021;12460;1070;820;570;3330;1390;4530
Quelle: Fonds Soziales Wien.;;;;;;;
"(1) Die Summe der KundInnen in den einzelnen Kategorien ist größer als die Gesamtsumme, da Personen, die mehrere Leistungen beanspruchen, als KundInnen nur einmal gezählt werden.
(2) Ab 2012 inklusive ""Mobile Wohnbetreuung"". Diese soziale Dienstleistung wird als neue Form des Dauerwohnens gemäß ""Housing-first-Prinzip"" im Regelbetrieb angeboten. 
(3) Die Anzahl der KundInnen umfasst nunmehr ausschließlich Personen, die den reservierten Schlafplatz tatsächlich in Anspruch nahmen. Die Daten für 2010 bis 2013 wurden entsprechend neu berechnet und leicht revidiert.";;;;;;;
