Soziale Dienste in Wien – Erlöse seit 2006;;;;;;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;;;;;;
;2006;2007;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0;2023,0
;1.000 EUR;;;;;;;;;;;;;;;;;
Jahreserlöse (1);42376;42636;46991,0;53336,7;54776,0;58451,0;59903,0;61043,0;61935,0;62219,0;64367,06408;66219,0;63603,0;63171,0;63977,0;63699,0;63332,0;65124,0
Heimhilfe;28900;30500;32800,0;34769,0;36645,0;39262,0;39839,0;39708,0;39543,772;39336,0;39543,857;38661,0;38658,0;38840,0;39133,0;36324,0;39977,0;40631,0
Hauskrankenpflege;11570;9920;11730,0;13286,0;13498,0;14730,0;15562,0;16534,0;17126,332;17798,0;18312,937;18338,0;18286,0;18004,0;17660,0;16745,0;18753,0;19645,0
Besuchsdienst;1031;1318;1522,0;1730,0;1985,0;2234,0;2295,0;2461,0;2647,016;2810,0;2987,859;2691,0;2548,0;2530,0;2495,0;2247,0;2468,0;2489,0
Essen auf Rädern;569;601;603,0;620,0;580,0;434,0;289,0;199,0;146,496;103,0;73,796;54,0;40,0;30,0;22,0;14,0;11,0;8,0
Wäscheservice;–;–;28,7;31,7;29,0;30,0;27,0;23,0;18,562;15,0;13,065;11,0;9,0;7,0;6,0;6,0;4,0;4,0
Tageszentren;;;;1597,0;1724,0;1878,0;1956,0;2079,0;2200,332;2185,0;2282,078;2320,0;2312,0;2406,0;1508,0;1735,0;2119,0;2347,0
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;;;;;;
"(1) Als Erlöse sind die Kostenbeiträge der Kundinnen und Kunden angeführt (Jahressumme für Ambulante Pflege gemäß Rechnungsabschluss). Der angegebene Gesamtbetrag weicht ab von der Summe der Einzelposten, weil darin die Erlöse aus Verlassenschaften enthalten sind, welche nicht einzelnen Leistungen zuordenbar sind. Ab 2016 wurde das Rechnungslegungsänderungsgesetz schlagend und es sind die ""Erlöse gesamt"" angegeben. Bis 2012 inklusive der sozialen Ergänzungsleistung „Reinigungsdienst"", die mit 1. Juli 2012 eingestellt wurde.";;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
