Soziale Dienste in Wien – Jahresaufwand für Menschen mit Behinderungen seit 2006;;;;;;;;;;;;;;;;;;
Ausgewählte Leistung;Berichtsjahr;;;;;;;;;;;;;;;;;
;2006;2007,0;2008,0;2009,0;2010,0;2011,0;2012,0;2013,0;2014,0;2015,0;2016,0;2017,0;2018,0;2019,0;2020,0;2021,0;2022,0;2023,0
;1.000 EUR;;;;;;;;;;;;;;;;;
Jahresaufwand;162999;168870,0;188669,0;197855,0;206530,0;219883,0;219113,0;234815,0;261156,256;260764,0;270878,53368;290500,0;289356,0;312080,0;316070,0;326560,0;354552,0;414114,0
Tagesstruktur inkl. Essen und Taschengeld;45574;48607,0;53701,0;54940,0;56538,0;59145,0;61122,0;64188,0;67071,0;69806,0;70555,58717;73397,0;75003,0;79726,0;73461,0;75680,0;85459,0;100737,0
Berufsintegration (mit Projekten), Lehrlingsausbildung und Lohnkostenzuschüsse (1);5437;5807,0;7347,0;6170,0;6564,0;9729,0;7749,0;7050,0;12351,791000000001;8350,0;8180,625;10889,0;8355,0;10181,0;9680,0;8558,0;11376,0;13685,0
Integration – Bildung, Beratung, Assistenz (2);17648;14836,0;19300,0;24508,0;26404,0;29603,0;24905,0;32144,0;42302,0;35778,0;39912,0;42869,0;41582,0;42502,0;40831,0;45533,0;46148,0;54654,0
Regelfahrtendienst samt Mobilitätskonzept;9963;10888,0;11507,0;12155,0;13375,0;14298,0;14626,0;15526,0;17224,465;17009,0;18733,497;19268,0;19422,0;21535,0;18737,0;18669,0;15391,0;19963,0
Freizeitfahrtendienst;6990;6917,0;6861,0;5870,0;4896,0;4535,0;3989,0;3624,0;3730,0;3707,0;2989,0;2920,0;2767,0;3105,0;2812,0;1655,0;1584,0;1969,0
Mobilität und Transportdienste;2324;2327,0;1956,0;2842,0;2286,0;1916,0;1452,0;1326,0;1426,0;1475,0;1493,967;1497,0;1538,0;1544,0;1569,0;1454,0;1496,0;1500,0
Wohnen für Menschen mit Behinderung (Vollbetreutes Wohnen);63343;66807,0;74073,0;76450,0;79734,0;83857,0;87337,0;91013,0;95463,0;100538,0;102009,782;106790,0;106150,0;111461,0;120348,0;120341,0;126158,0;135771,0
Wohnen für Menschen mit Behinderung (Teilbetreutes Wohnen);11720;12681,0;13924,0;14920,0;16733,0;16800,0;17933,0;19944,0;21588,0;24101,0;27004,07551;32870,0;34539,0;42026,0;48632,0;54670,0;66940,0;85835,0
Quelle: Fonds Soziales Wien.;;;;;;;;;;;;;;;;;;
"(1) Die Aufwendungen für Berufsintegration sind inklusive der Projektförderungen, die gegenüber 2014 stark gesunken sind, weil diese teilweise bereits 2014 für mehrere Jahre ausgesprochen wurden. 
(2) Seit 2008 mit ""Pflegegeldergänzungsleistung für Persönliche Assistenz"".";;;;;;;;;;;;;;;;;;
