L0010;;;;;;;;G0049
Unternehmenssektor: Ausgaben für F&E und Beschäftigte in F&E nach Beschäftigtengrößenklassen in Wien 2015;;;;;;;;
Beschäftigtengrößenklassen
der Unternehmen*;Anzahl der F&E durchführenden Erhebungseinheiten;Interne Ausgaben für F&E;;Beschäftigte in F&E;;;;
;;1.000 EUR;%;Vollzeitäquivalente;%;Kopfzahlen;%;
Insgesamt;861;1935352;100;11935;100;17531;100;
weniger als 10 Beschäftigte;395;71471;3,7;774,7;6,5;1404;8;
10–49 Beschäftigte;260;226982;11,7;1866,8;15,6;2952;16,8;
50–249 Beschäftigte;129;314504;16,3;2313,8;19,4;3409;19,4;
250–999 Beschäftigte;53;596880;30,8;3224,7;27;4031;23;
1.000 und mehr Beschäftigte;24;725515;37,5;3755,1;31,5;5735;32,7;
Quelle: Statistik Austria – Erhebung über Forschung und experimentelle Entwicklung 2015, Sonderauswertung für Wien.;;;;;;;;
Anmerkung: Rundungsdifferenzen nicht ausgeglichen.;;;;;;;;
* Umfasst den firmeneigenen Bereich und den kooperativen Bereich.;;;;;;;;
